@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,17, 9, 0, 11, 11, 10, 460.714, 527.429, 258.81, 62.5238, 993.095
~&SPILL_STATS,3, 0, 0, 3, 0, 5, 24.75, 0, 24.75, 0, 106.25
~&SPILL_STATS,10, 4, 0, 2, 0, 7, 129.25, 25.75, 22.25, 0, 148.75
~&SPILL_STATS,14, 20, 0, 11, 9, 13, 8.66667, 62.6905, 7.52381, 5.71429, 64.5238
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 1, 0, 1, 0, 4, 0, 3.96, 0.64, 0, 3.64
~&SPILL_STATS,22, 1, 0, 6, 1, 6, 230.417, 10.8333, 63.75, 10.8333, 44.5833
~&SPILL_STATS,2, 2, 0, 2, 2, 4, 15.625, 15.625, 15.625, 8.3125, 21.75
~&SPILL_STATS,0, 1, 0, 1, 1, 8, 0, 10.0196, 0.313726, 0.313726, 60.0784
~&SPILL_STATS,51, 14, 0, 19, 20, 4, 22404.2, 3512.57, 2466.62, 2684.71, 2086.1
~&SPILL_STATS,335, 94, 0, 89, 100, 41, 690.06, 279.96, 140.775, 259.079, 224.49
~&SPILL_STATS,75, 63, 0, 40, 29, 28, 112.519, 104.329, 51.6329, 39.4177, 107.519
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 131.744
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.375
~&SPILL_STATS,117, 50, 0, 35, 43, 24, 72.6985, 24.8854, 16.3874, 10.8064, 13.6591
~&SPILL_STATS,56, 8, 0, 13, 9, 14, 491.72, 84.36, 87.64, 92.16, 194
~&SPILL_STATS,39, 5, 0, 25, 3, 14, 517.194, 61.7742, 237.516, 1.83871, 80.7097
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 19.9375
~&SPILL_STATS,44, 14, 0, 8, 8, 9, 371.08, 90.8, 26.72, 46.44, 107.16
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 8, 0, 6, 3, 9, 3, 4.5, 5, 1.5, 6
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,8, 14, 0, 6, 7, 16, 6.6, 81.96, 5.64, 8.56, 188.8
~&SPILL_STATS,7, 9, 0, 5, 2, 1, 33.617, 41.9787, 23.766, 1.17021, 5.44681
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1060, 359, 0, 358, 236, 138, 14924.3, 5033.83, 2353.04, 2443.7, 4139.81
~&SPILL_STATS,4, 1, 0, 2, 5, 7, 31.746, 7.87302, 107.175, 17.246, 639.834
~&SPILL_STATS,12, 16, 0, 12, 9, 7, 4.5, 106, 7.25, 15, 44.5
~&SPILL_STATS,28, 31, 0, 23, 11, 9, 54.1263, 106.251, 43.8052, 16.5434, 298.819
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4.77207
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 19.0952
