"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,17,10,0,12,11,10,460.714,791.619,259.81,62.5238,993.095
function@refreshArcPointers,3,0,0,3,0,5,24.75,0,24.75,0,106.25
function@refreshPositions,10,4,0,2,0,7,129.25,25.75,22.25,0,148.75
function@marc_arcs,14,20,0,11,9,13,8.66667,62.6905,7.52381,5.71429,64.5238
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,1,0,1,0,4,0,3.96,0.64,0,3.64
function@insert_new_arc,22,1,0,6,1,6,230.417,10.8333,63.75,10.8333,44.5833
function@replace_weaker_arc,2,2,0,2,2,4,15.625,15.625,15.625,8.3125,21.75
function@calculate_max_redcost,0,1,0,1,1,8,0,10.0196,0.313726,0.313726,60.0784
function@switch_arcs,51,12,0,18,20,4,22404.2,3472,2446.33,2684.71,2086.1
function@price_out_impl,351,102,0,103,101,42,682.391,270.934,149.523,250.92,230.457
function@suspend_impl,72,57,0,37,28,28,111.747,102.785,50.8608,39.2152,107.519
function@global_opt,0,0,0,0,0,5,0,0,0,0,131.744
function@main,0,0,0,0,0,3,0,0,0,0,1.375
function@read_min,108,42,0,27,40,25,68.1585,21.9563,12.4625,9.45905,13.7762
function@primal_start_artificial,56,8,0,13,9,14,491.72,84.36,87.64,92.16,194
function@update_tree,39,5,0,25,3,14,517.194,61.7742,237.516,1.83871,80.7097
function@refresh_neighbour_lists,0,0,0,0,0,1,0,0,0,0,19.9375
function@flow_cost,44,14,0,8,8,9,371.08,90.8,26.72,46.44,107.16
function@start,0,0,0,0,0,0,0,0,0,0,0
function@getArcPosition,4,8,0,6,3,9,3,4.5,5,1.5,6
function@getOriginalArcPosition,0,0,0,0,0,0,0,0,0,0,0
function@flow_org_cost,8,14,0,6,7,16,6.6,81.96,5.64,8.56,188.8
function@primal_feasible,7,9,0,5,2,1,33.617,41.9787,23.766,1.17021,5.44681
function@dual_feasible,0,0,0,0,0,0,0,0,0,0,0
function@getfree,0,0,0,0,0,0,0,0,0,0,0
function@spec_qsort,1123,391,0,365,258,136,15285.7,5145.3,2362.71,2458.8,4226.04
function@markBaskets,4,1,0,2,5,7,31.746,7.87302,107.175,17.246,639.834
function@worker,12,16,0,12,9,7,4.5,106,7.25,15,44.5
function@master,28,30,0,23,12,8,54.1263,106.001,43.8052,16.7934,294.626
function@primal_net_simplex,0,0,0,0,0,0,0,0,0,0,0
function@write_circulations,0,0,0,0,0,6,0,0,0,0,4.77207
function@write_objective_value,0,0,0,0,0,2,0,0,0,0,2
function@primal_iminus,0,0,0,0,0,7,0,0,0,0,19.0952
