"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@re_set_syntax,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_fastmap,125,12,0,9,19,81,432.677,51.2407,50.4246,56.9877,431.531
function@re_set_registers,0,0,0,0,0,0,0,0,0,0,0
function@re_search,0,0,0,0,0,0,0,0,0,0,0
function@re_search_2,4,5,0,3,1,10,2.6618,4.24818,1.44282,0.194647,2.55231
function@re_match_2_internal,722,363,0,223,141,87,387.165,57.3246,40.731,18.6842,98.766
function@group_match_null_string_p,4,5,0,4,0,10,4.25273,5.9551,6.21539,0,72.3207
function@common_op_match_null_string_p,0,0,0,0,0,4,0,0,0,0,2.14286
function@re_match,0,0,0,0,0,0,0,0,0,0,0
function@re_match_2,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_pattern,0,0,0,0,0,1,0,0,0,0,1
function@regex_compile,589,343,0,387,344,248,39.9339,26.8157,39.489,26.0125,33.4703
function@compile_range,5,3,0,2,10,12,1.44853,0.926471,0.933824,1.89706,12.6912
function@regcomp,3,2,0,4,3,8,2.61905,1.61905,3.61905,1.80952,24.5476
function@regexec,5,2,0,3,2,7,8.4707,0.361328,1.00781,1,14.4888
function@regerror,0,0,0,0,0,4,0,0,0,0,4
function@regfree,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_PUGHReduce,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionAvg_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionAvgArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionAvg,551,330,0,300,242,206,53028.2,42574.9,16654,7072.36,49920.4
function@PUGH_ReductionAvgGVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm3_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm3Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm3,446,326,0,288,240,258,31314,42094.4,15686.7,7869.65,58474.1
function@PUGH_ReductionNorm3GVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm2_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm2Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm2,512,321,0,291,254,232,45905.8,41016.8,13710.4,8290.19,53220.3
function@PUGH_ReductionNorm2GVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNormInf_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNormInfArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNormInf,504,295,0,277,200,250,45473.9,40671.5,12840.8,6421.62,52852.9
function@PUGH_ReductionNormInfGVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReduceGA_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceGridArrays,90,20,0,36,31,13,193.684,16.8907,19.4492,10.0957,80.8041
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionCount_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionCountArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionCount,0,0,0,0,0,4,0,0,0,0,22.5517
function@PUGH_ReductionCountGVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_ReduceArraysGlobally_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceArraysGlobally,23,2,0,7,1,9,17.793,1.90625,5.71484,0.09375,47.351
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionNorm1_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm1Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm1,524,329,0,281,245,240,41281.9,39971.3,11587.5,6897.73,54391.6
function@PUGH_ReductionNorm1GVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_version_CactusPUGH_PUGHReduce_Reduction_c,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionArrays,9,4,0,8,3,15,17.7104,8.96875,10.6833,1,43.2632
function@copy_real_to_outtype,21,42,0,9,24,33,0.763209,14.8728,1.40705,3.27593,25.0998
function@PUGH_ReductionGVs,43,8,0,12,13,7,225.762,16.4258,17.5244,15.1602,49.3164
function@CCTKi_version_CactusPUGH_PUGHReduce_ReductionSum_c,0,0,0,0,0,0,0,0,0,0,0
