"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@re_set_syntax,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_fastmap,30,4,0,11,2,105,35.759,29.4118,4.58068,0.630585,460.932
function@re_set_registers,0,0,0,0,0,0,0,0,0,0,0
function@re_search,0,0,0,0,0,0,0,0,0,0,0
function@re_search_2,7,1,0,4,0,12,3.6545,0.413625,1.48905,0,3.65937
function@re_match_2_internal,574,195,0,179,46,235,256.648,68.8829,29.9533,5.32505,86.2004
function@group_match_null_string_p,3,1,0,3,0,12,0.813586,2.1077,3.6077,0,74.5392
function@common_op_match_null_string_p,0,0,0,0,0,4,0,0,0,0,1.17857
function@re_match,0,0,0,0,0,0,0,0,0,0,0
function@re_match_2,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_pattern,0,0,0,0,0,1,0,0,0,0,1
function@regex_compile,513,66,0,296,52,454,26.4468,0.853479,28.7978,3.78736,46.9334
function@compile_range,0,0,0,0,0,19,0,0,0,0,15.2132
function@regcomp,2,1,0,2,1,7,0.809524,0.809524,0.809524,0.809524,23.7381
function@regexec,12,0,0,3,0,16,1.33789,0,0.507812,0,17.5942
function@regerror,0,0,0,0,0,8,0,0,0,0,6.62499
function@regfree,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_PUGHReduce,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionAvgArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionAvg,403,208,0,258,25,514,16022.9,28208.8,8653.72,216.302,62194.6
function@PUGH_ReductionAvgGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm3Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm3,417,187,0,268,17,607,27318.6,21323.5,13049.8,780.015,73548.6
function@PUGH_ReductionNorm3GVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm2Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm2,370,192,0,257,15,570,20315.1,25361.1,10143.9,283.647,63837.7
function@PUGH_ReductionNorm2GVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNormInfArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNormInf,329,175,0,243,16,602,19229.4,20757.8,9596.03,160.684,66835.1
function@PUGH_ReductionNormInfGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceGridArrays,77,15,0,41,24,47,121.066,18.2501,22.3477,4.1407,170.206
function@PUGH_ReductionCountArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionCount,0,0,0,0,0,4,0,0,0,0,22.5517
function@PUGH_ReductionCountGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceArraysGlobally,8,1,0,6,0,16,5.67188,0.90625,5.80078,0,52.9327
function@PUGH_ReductionNorm1Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm1,419,192,0,253,20,562,17249.8,24367,8112.66,295.647,67486.5
function@PUGH_ReductionNorm1GVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionArrays,2,3,0,4,0,24,8.25,8.71875,8.96875,0,46.1868
function@copy_real_to_outtype,41,6,0,18,4,57,3.36791,0.250489,1.71233,0.203523,26.1135
function@PUGH_ReductionGVs,21,4,0,17,0,15,187.622,8.30078,24.7266,0,63.7441
function@PUGH_ReductionSumArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionSum,400,208,0,258,25,515,16004.2,28208.8,8653.72,216.302,62274.6
function@PUGH_ReductionSumGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionMaxValArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionMaxVal,470,245,0,267,13,634,10100.4,19726.2,5523.8,95.0453,43596.6
function@PUGH_ReductionMaxValGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionMinValArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionMinVal,472,243,0,267,13,631,10619.8,19206.8,5523.8,95.0453,43064.9
function@PUGH_ReductionMinValGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm4Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm4,431,182,0,275,24,517,28817.9,23210.3,18306.3,1358.32,62380.2
function@PUGH_ReductionNorm4GVs,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_PUGHInterp,0,0,0,0,0,0,0,0,0,0,0
function@PUGHInterp_InterpGridArrays,0,9,0,9,0,0,0,3.42857,9,0,0
function@PUGHInterp_DriverInterpolate,27,12,0,10,0,18,0.627949,0.12613,0.0870812,0,1.7961
function@PrepareParameterTable,17,20,0,11,5,16,18.0734,14.3211,5.66055,0.963303,46.6881
function@CCTK_CompileDateTime,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_ADMCoupling,0,0,0,0,0,0,0,0,0,0,0
function@CCTKi_BindingsThorn_Cactus,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultSetupGH,4,2,0,4,0,17,0.748161,1.44188,0.937484,0,8.2304
function@CactusDefaultnProcs,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultExit,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultAbort,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultSyncGroup,0,0,0,0,0,1,0,0,0,0,0.999999
function@CactusDefaultSyncGroupsByDirI,0,0,0,0,0,4,0,0,0,0,39.28
function@CactusDefaultEnableGroupStorage,0,0,0,0,0,0,0,0,0,0,0
function@CactusDefaultGroupStorageIncrease,2,0,0,2,0,10,4.90741,0,4.90741,0,32.0185
