"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,3,0,0,1,0,2,1.66667,0,1,0,2
function@MAIN_parseCommandLine,0,0,0,0,0,1,0,0,0,0,0.499999
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_finalize,0,0,0,0,0,0,0,0,0,0,0
function@LBM_allocateGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_freeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid.omp_outlined,3,2,0,2,0,3,17,17,17,0,32.5
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,4,3,0,1,8,3,2111.5,2079.62,31.875,2177.25,33792.8
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForLDC.omp_outlined,2,8,0,3,3,7,32,598.556,18,37.3333,31857.8
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForChannel.omp_outlined,2,4,0,3,0,4,32,19,18,0,32768
function@LBM_performStreamCollideBGK,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideBGK.omp_outlined,47,37,0,19,4,4,372,206,138,32.5,40.5
function@LBM_performStreamCollideTRT,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideTRT.omp_outlined,85,122,0,70,4,5,684,934,554,32.5,48.5
function@LBM_handleInOutFlow,0,0,0,0,0,0,0,0,0,0,0
function@LBM_handleInOutFlow.omp_outlined,3,5,0,7,1,6,48,50,97,16,80.5
function@LBM_handleInOutFlow.omp_outlined.2,13,37,0,39,0,1,208,592,624,0,0.5
function@LBM_showGridStatistics,21,32,0,29,2,7,232.375,686,588.625,16.9375,207.562
function@LBM_storeVelocityField,11,2,0,3,9,1,109633,1056,1057,3202,32768
function@LBM_compareVelocityField,13,46,0,23,9,2,232513,1.44285e+06,656417,3202,32769
