"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,1,0,0,1,0,2,1,0,1,0,2
function@MAIN_parseCommandLine,0,0,0,0,0,1,0,0,0,0,0.499999
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_finalize,0,0,0,0,0,0,0,0,0,0,0
function@LBM_allocateGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_freeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid.omp_outlined,0,1,0,1,0,6,0,1,1,0,49.5
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,4,1,0,5,0,6,2111.5,1023.88,2143.38,0,34880.4
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForLDC.omp_outlined,1,4,0,3,2,8,16,569.889,33,21.3333,32028.4
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForChannel.omp_outlined,1,1,0,2,0,4,16,1,17,0,32768
function@LBM_performStreamCollideBGK,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideBGK.omp_outlined,19,21,0,28,0,19,132,93,217.5,0,128.5
function@LBM_performStreamCollideTRT,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideTRT.omp_outlined,40,61,0,77,0,12,328,465,609.5,0,88.5
function@LBM_handleInOutFlow,0,0,0,0,0,0,0,0,0,0,0
function@LBM_handleInOutFlow.omp_outlined,1,2,0,3,1,7,16,17,18,0.5,96.5
function@LBM_handleInOutFlow.omp_outlined.2,11,15,0,26,0,1,176,240,416,0,0.5
function@LBM_showGridStatistics,30,8,0,30,2,7,309.125,127.5,620,16.9375,207.562
function@LBM_storeVelocityField,5,1,0,6,0,5,34880,1024,3168,0,33857
function@LBM_compareVelocityField,25,2,0,27,0,5,657473,33792,658529,0,33857
