@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.499999
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 1, 0, 1, 0, 6, 0, 1, 1, 0, 49.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 1, 0, 5, 0, 6, 2111.5, 1023.88, 2143.38, 0, 34880.4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 4, 0, 3, 2, 8, 16, 569.889, 33, 21.3333, 32028.4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 2, 0, 4, 16, 1, 17, 0, 32768
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,17, 17, 0, 24, 0, 13, 108, 73, 185.5, 0, 96.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,32, 70, 0, 78, 0, 15, 264, 525, 617.5, 0, 113.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 2, 0, 3, 1, 7, 16, 17, 18, 0.5, 96.5
~&SPILL_STATS,14, 11, 0, 25, 0, 3, 224, 176, 400, 0, 32.5
~&SPILL_STATS,29, 7, 0, 27, 2, 10, 277.25, 111.562, 556.188, 16.9375, 239.375
~&SPILL_STATS,5, 1, 0, 6, 0, 5, 34880, 1024, 3168, 0, 33857
~&SPILL_STATS,25, 2, 0, 27, 0, 5, 657473, 33792, 658529, 0, 33857
