"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,1,0,0,1,0,2,1,0,1,0,2
function@MAIN_parseCommandLine,0,0,0,0,0,1,0,0,0,0,0.499999
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_finalize,0,0,0,0,0,0,0,0,0,0,0
function@LBM_allocateGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_freeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid.omp_outlined,0,1,0,1,0,6,0,1,1,0,49.5
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,4,1,0,5,0,6,2111.5,1023.88,2143.38,0,34880.4
function@LBM_initializeSpecialCellsForLDC,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForLDC.omp_outlined,1,4,0,3,2,7,16,569.889,33,21.3333,31857.8
function@LBM_initializeSpecialCellsForChannel,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeSpecialCellsForChannel.omp_outlined,1,1,0,2,0,4,16,1,17,0,32768
function@LBM_performStreamCollideBGK,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideBGK.omp_outlined,15,17,0,24,1,18,88,85,170,0.5,140.5
function@LBM_performStreamCollideTRT,0,0,0,0,0,0,0,0,0,0,0
function@LBM_performStreamCollideTRT.omp_outlined,40,63,0,77,1,10,312,485,594,0.5,80.5
function@LBM_handleInOutFlow,0,0,0,0,0,0,0,0,0,0,0
function@LBM_handleInOutFlow.omp_outlined,1,2,0,3,1,7,16,17,18,0.5,96.5
function@LBM_handleInOutFlow.omp_outlined.2,12,14,0,26,0,2,192,224,416,0,16.5
function@LBM_showGridStatistics,29,8,0,28,2,10,277.25,127.5,572.125,16.9375,239.375
function@LBM_storeVelocityField,5,1,0,6,0,5,34880,1024,3168,0,33857
function@LBM_compareVelocityField,25,2,0,27,0,5,657473,33792,658529,0,33857
