"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN11xalanc_1_1016XalanUTF16WriterC2ERNS_6WriterERN11xercesc_2_713MemoryManagerE,0,0,0,0,0,3,0,0,0,0,32.625
function@_ZN11xalanc_1_1020XalanFormatterWriterD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016XalanUTF16WriterD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1020XalanFormatterWriterD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016FunctionEvaluateD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1016FunctionEvaluate7executeERNS_21XPathExecutionContextEPNS_9XalanNodeERKNS_11XalanVectorINS_10XObjectPtrENS_31MemoryManagedConstructionTraitsIS6_EEEEPKN11xercesc_2_77LocatorE,0,0,0,0,0,7,0,0,0,0,1.78125
function@_ZNK11xalanc_1_1016FunctionEvaluate5cloneERN11xercesc_2_713MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1016FunctionEvaluate8getErrorERNS_14XalanDOMStringE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016FunctionEvaluateC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016FunctionEvaluateD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_109doExecuteERNS_21XPathExecutionContextEPNS_9XalanNodeERKNS_14XalanDOMStringERKNS_14PrefixResolverEPKN11xercesc_2_77LocatorE,0,0,0,0,0,4,0,0,0,0,0.999999
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1012XPathFactoryD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1012XPathFactoryC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1012XPathFactoryD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper10hasFeatureERKNS_14XalanDOMStringES3_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper18createDocumentTypeERKNS_14XalanDOMStringES3_S3_,0,0,0,0,0,2,0,0,0,0,1.5
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper14createDocumentERKNS_14XalanDOMStringES3_RKNS_17XalanDocumentTypeE,0,0,0,0,0,2,0,0,0,0,1.5
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperC2EPN11xercesc_2_717DOMImplementationE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperC2ERKS0_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper6createERN11xercesc_2_713MemoryManagerEPNS1_17DOMImplementationE,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xalanc_1_1018XalanMemMgrAutoPtrINS_30XercesDOMImplementationWrapperELb0EED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1021ElemForwardCompatibleD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1021ElemForwardCompatible12startElementERNS_26StylesheetExecutionContextE,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1021ElemForwardCompatible14getElementNameEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1021ElemForwardCompatible19executeChildElementERNS_26StylesheetExecutionContextEPKNS_19ElemTemplateElementE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1021ElemForwardCompatibleC2ERNS_29StylesheetConstructionContextERNS_10StylesheetEPKtRKN11xercesc_2_713AttributeListEii,0,3,0,1,0,4,0,34.997,19.9983,0,1.00005
function@_ZN11xalanc_1_1021ElemForwardCompatible6createERN11xercesc_2_713MemoryManagerERNS_29StylesheetConstructionContextERNS_10StylesheetEPKtRKNS1_13AttributeListEii,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xalanc_1_1018XalanMemMgrAutoPtrINS_21ElemForwardCompatibleELb0EED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1021ElemForwardCompatibleD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeTokenD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token8getChildEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token4sizeEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token6getMinEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token6getMaxEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token10getNoParenEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token14getReferenceNoEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token9getStringEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_75Token7getCharEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_75Token6setMinEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_75Token6setMaxEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeToken8addRangeEii,6,3,0,4,2,4,5.28395,1.08642,2.2963,0.296296,3.59259
function@_ZN11xercesc_2_710RangeToken11mergeRangesEPKNS_5TokenE,25,5,0,4,8,4,159.57,32.0312,7.22656,50.3906,5.07812
function@_ZN11xercesc_2_710RangeToken10sortRangesEv,26,5,0,10,5,4,2075.96,346.37,498.222,313.037,199.037
function@_ZN11xercesc_2_710RangeToken13compactRangesEv,15,5,0,3,5,1,166.868,41.25,4.10294,37.2353,14.8088
function@_ZN11xercesc_2_710RangeToken14subtractRangesEPS0_,53,4,0,9,1,0,26.1262,1.90291,3.69903,0.0776699,0
function@_ZN11xercesc_2_710RangeToken15intersectRangesEPS0_,36,4,0,12,9,0,25.0902,5.66165,7.09774,3.77444,0
function@_ZN11xercesc_2_75Token8addChildEPS0_PNS_12TokenFactoryE,0,0,0,0,0,2,0,0,0,0,1.5
function@_ZN11xercesc_2_710RangeTokenC2EtPNS_13MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeTokenD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeToken23getCaseInsensitiveTokenEPNS_12TokenFactoryE,22,15,0,8,7,3,103.94,46.41,5.01,58.66,130.53
function@_ZN11xercesc_2_710RangeToken11doCreateMapEv,10,5,0,6,1,0,687.833,350,344.667,111.944,0
function@_ZN11xercesc_2_710RangeToken14setRangeValuesEPij,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeToken6expandEj,0,0,0,0,0,4,0,0,0,0,24.25
function@_ZN11xercesc_2_716RuntimeExceptionC2EPKcjNS_10XMLExcepts5CodesEPNS_13MemoryManagerE,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_ZN11xercesc_2_716RuntimeExceptionD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_716RuntimeException7getTypeEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_716RuntimeException9duplicateEv,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xercesc_2_724IllegalArgumentExceptionC2EPKcjNS_10XMLExcepts5CodesEPNS_13MemoryManagerE,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_ZN11xercesc_2_724IllegalArgumentExceptionD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_724IllegalArgumentException7getTypeEv,0,0,0,0,0,0,0,0,0,0,0
