@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,58, 83, 0, 69, 67, 50, 0.144757, 0.484551, 1.2858, 3.79632, 29.6005
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 17, 0, 2, 1, 1, 0, 11.625, 1.8125, 0.1875, 1
~&SPILL_STATS,56, 45, 0, 27, 25, 20, 658.393, 663.962, 228.481, 279.691, 281.626
~&SPILL_STATS,16, 2, 0, 4, 1, 9, 24.7643, 1.90014, 1.9628, 0.44826, 16.4694
~&SPILL_STATS,3, 5, 0, 1, 13, 8, 80, 164, 4, 244.5, 253
~&SPILL_STATS,5, 7, 0, 7, 0, 2, 0.973684, 1.42105, 1.65461, 0, 0.296053
~&SPILL_STATS,166, 47, 0, 26, 29, 57, 51.915, 139.257, 2.70977, 7.67755, 133.493
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,326, 132, 0, 158, 54, 80, 24507.3, 17188.8, 8379.14, 3217.25, 12372
~&SPILL_STATS,70, 30, 0, 27, 4, 11, 58.7679, 54.2818, 9.65356, 10.6882, 32.8622
~&SPILL_STATS,0, 1, 0, 2, 0, 0, 0, 0.154412, 0.147059, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 20.45
~&SPILL_STATS,40, 9, 0, 18, 6, 6, 25.4057, 4.76171, 14.6119, 2.625, 27.7928
~&SPILL_STATS,199, 53, 0, 67, 3, 13, 194.517, 61.7448, 59.5405, 1.1875, 7.56319
~&SPILL_STATS,47, 21, 0, 29, 1, 12, 10.8966, 5.42548, 4.74359, 0.15625, 3.89423
~&SPILL_STATS,21, 8, 0, 14, 0, 10, 137.214, 53.8571, 71.1191, 0, 36.381
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7.26471
