"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,58,83,0,69,67,50,0.142621,0.487396,1.2858,3.79632,29.6005
function@SigIntHandler,0,0,0,0,0,0,0,0,0,0,0
function@Help,0,17,0,2,1,1,0,11.625,1.8125,0.1875,1
function@x264_adaptive_quant_frame,56,45,0,27,29,19,658.393,663.962,228.481,285.538,258.179
function@x264_macroblock_tree_read,16,4,0,5,1,9,25.1145,4.81238,2.20817,0.45503,17.1604
function@x264_reference_build_list_optimal,4,5,0,2,11,7,82,224,6,102.5,249
function@x264_ratecontrol_init_reconfigurable,5,7,0,7,0,2,0.973684,1.42105,1.65461,0,0.296053
function@x264_ratecontrol_new,166,47,0,26,29,57,51.915,139.257,2.70977,7.67755,133.493
function@x264_strcat_filename,0,0,0,0,0,5,0,0,0,0,5
function@init_pass2,325,131,0,156,53,84,22577.6,15363.2,7884.46,2577.09,11196.7
function@clip_qscale,70,30,0,27,4,11,58.7679,54.2818,9.65356,10.6882,32.8622
function@x264_ratecontrol_summary,0,1,0,2,0,0,0,0.154412,0.147059,0,0
function@x264_ratecontrol_delete,0,0,0,0,0,2,0,0,0,0,20.45
function@x264_ratecontrol_start,40,9,0,18,6,6,25.4057,4.76171,14.6119,2.625,27.7928
function@rate_estimate_qscale,199,53,0,67,3,13,194.642,61.7448,59.5405,1.1875,7.56319
function@x264_ratecontrol_mb,51,19,0,29,1,12,11.2668,5.24039,4.74359,0.15625,3.89423
function@predict_row_size_sum,21,8,0,14,0,10,137.214,53.8571,71.1191,0,36.881
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,2,0,0,0,0,7.26471
function@x264_ratecontrol_set_weights,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_end,56,9,0,16,11,11,22.822,1.25883,5.91236,2.18404,14.1392
function@x264_hrd_fullness,4,5,0,2,0,0,3,4.5,2,0,0
function@x264_threads_normalize_predictors,0,4,0,1,1,9,0,21.775,0.625,0.625,70.85
function@x264_threads_distribute_ratecontrol,43,17,0,21,13,24,328.388,408.131,202.578,109.101,279.321
function@x264_threads_merge_ratecontrol,55,20,0,22,13,9,889.493,444.963,172.926,38.1103,334.301
function@x264_thread_sync_ratecontrol,0,0,0,0,0,0,0,0,0,0,0
function@x264_mb_encode_i4x4,0,0,0,0,0,6,0,0,0,0,2.48438
function@x264_mb_encode_i8x8,0,0,0,0,0,7,0,0,0,0,4.73438
function@x264_mb_encode_8x8_chroma,45,28,0,15,14,29,366.6,241.913,78.6387,85.3994,289.739
function@x264_mb_optimize_chroma_dc,15,5,0,7,10,7,342.314,8.58824,14.4902,8.41177,250.863
function@x264_predict_lossless_8x8_chroma,0,0,0,0,0,0,0,0,0,0,0
function@x264_predict_lossless_4x4,0,0,0,0,0,0,0,0,0,0,0
function@x264_predict_lossless_8x8,0,0,0,0,0,1,0,0,0,0,1
function@x264_predict_lossless_16x16,0,0,0,0,0,0,0,0,0,0,0
function@x264_macroblock_encode,31,75,0,16,22,40,16.5723,25.8803,4.8727,6.81239,22.1795
function@x264_macroblock_probe_skip,9,13,0,16,5,6,6.08565,17.2079,6.45568,5.25225,34.5866
function@x264_noise_reduction_update,18,17,0,11,6,33,47.9375,47.9375,8,4.5,94.875
function@x264_macroblock_encode_p8x8,18,39,0,13,14,23,5.17969,10.1942,7.50806,4.70972,4.54533
function@x264_macroblock_encode_p4x4,1,2,0,1,0,4,0.140625,0.46875,0.375,0,1.625
function@x264_lookahead_init,1,5,0,2,2,11,0.390465,15.4677,1.01509,0.585395,53.6488
function@x264_lookahead_delete,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_put_frame,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_is_empty,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_get_frames,0,0,0,0,0,1,0,0,0,0,2.81443
function@x264_me_search_ref,1155,608,0,509,195,82,2531.18,1540.92,712.773,348.09,399.644
function@refine_subpel,289,127,0,84,25,10,248.096,136.618,80.0142,27.9487,16.5018
function@x264_me_refine_qpel,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_qpel_refdupe,0,0,0,0,0,4,0,0,0,0,4
function@x264_me_refine_bidir_satd,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_bidir,148,89,0,56,43,16,1101.44,531.099,399.858,184.821,103.729
function@x264_me_refine_bidir_rd,0,0,0,0,0,1,0,0,0,0,1
function@x264_me_refine_qpel_rd,165,164,0,116,37,26,46.4978,57.0817,37.9484,14.61,10.9523
function@x264_sps_init,0,0,0,0,0,2,0,0,0,0,2
function@x264_sps_write,1220,160,0,191,243,183,526.468,84.7081,73.0314,106.376,108.431
function@x264_pps_init,113,0,0,81,30,8,27.9176,0,20.0118,2.82353,64.1882
function@x264_pps_write,72,24,0,36,33,65,39.3393,20.0893,21.0357,17.7857,47.0714
function@scaling_list_write,92,20,0,11,10,8,109.588,22.2353,13.6618,8.91177,18.9559
function@x264_sei_recovery_point_write,1,3,0,1,1,17,1,3,1,1,14
function@x264_sei_write_header,4,0,0,1,0,4,3.64,0,1,0,2.28
function@x264_sei_write,0,0,0,0,0,13,0,0,0,0,9.25
function@x264_sei_version_write,51,13,0,24,20,9,114.901,25.7778,53.3704,25.963,36.3457
function@x264_sei_buffering_period_write,9,2,0,6,4,17,6.52,0.64,4.24,1.92,11.84
function@x264_sei_pic_timing_write,3,0,0,3,0,10,2.76,0,2.32,0,6.28
function@x264_filler_write,10,0,0,4,4,8,24.6875,0,11.7188,11.3438,42.5312
function@x264_validate_levels,6,5,0,4,12,5,5,3.3125,4,4.10938,2.59375
function@x264_encoder_open_96,10,14,0,9,16,30,0.375181,0.795202,0.314927,0.808054,4.26047
function@x264_validate_parameters,9,4,0,5,0,20,0.172233,0.116961,0.119877,0,2.34899
function@x264_set_aspect_ratio,0,1,0,1,0,3,0,0.146484,0.390625,0,13.5
function@mbcmp_init,0,0,0,0,0,1,0,0,0,0,1
function@x264_encoder_reconfig,3,2,0,3,0,6,1.35294,1.74118,1.98824,0,2.74118
function@x264_encoder_parameters,0,0,0,0,0,0,0,0,0,0,0
function@x264_encoder_headers,3,0,0,1,0,11,2.47573,0,1,0,5.66019
function@x264_nal_start,0,0,0,0,0,1,0,0,0,0,1
function@x264_nal_end,0,0,0,0,0,4,0,0,0,0,3.5
function@x264_encoder_encapsulate_nals,66,16,0,17,26,19,394.167,127.214,90.9524,136.31,209.5
function@x264_weighted_reference_duplicate,0,0,0,0,0,1,0,0,0,0,0.5
function@x264_encoder_intra_refresh,0,0,0,0,0,0,0,0,0,0,0
function@x264_encoder_encode,476,96,0,33,60,52,476.16,100.956,5.51982,17.7635,67.7194
function@x264_encoder_frame_end,477,21,0,27,11,52,521.184,7.5256,7.06097,10.1591,363.026
function@x264_reference_check_reorder,0,0,0,0,0,5,0,0,0,0,17.1905
function@x264_threaded_slices_write,216,14,0,14,8,36,4541.55,93.675,82.15,55.125,2940
function@x264_slices_write,1200,213,0,144,191,174,6073.69,1348.87,1086.84,1337.45,1279.44
function@x264_slice_header_init,22,3,0,2,3,5,25.5647,25.7176,1.62353,1.16471,51.1882
function@x264_fdec_filter_row,83,33,0,14,16,11,188.559,51.2843,29.9608,8.87255,18.3333
function@x264_encoder_close,332,199,0,282,98,29,116007,48235.1,59782.9,24642,14847.3
function@x264_encoder_delayed_frames,0,2,0,1,1,5,0,10.7742,0.483871,0.483871,35.9677
function@x264_macroblock_write_cavlc,155,51,0,58,56,102,60.0179,33.013,27.6667,20.8893,51.0248
function@bs_write_ue,2,0,0,1,0,3,2,0,1,0,3
function@bs_write_te,0,3,0,2,1,3,0,2,1.5,0.5,2
function@cavlc_mb_mvd,7,7,0,4,6,6,7,7,4,6,4
function@block_residual_write_cavlc,101,24,0,20,10,19,305.125,122,51,55.5,50.75
function@block_residual_write_cavlc_escape,16,12,0,8,6,11,8.94488,7.2126,4.72441,4.23622,6.91339
function@x264_cabac_mb_skip,0,0,0,0,0,0,0,0,0,0,0
function@x264_macroblock_write_cabac,23,80,0,51,66,84,11.2774,42.6165,23.8009,34.6755,58.4646
function@x264_cabac_mb_ref,0,2,0,1,2,2,0,21.2857,1,20.9048,2
function@x264_cabac_mb_mvd,2,1,0,2,1,5,2,1,2,1,5
function@block_residual_write_cabac,21,13,0,10,11,11,255.331,155.313,102,80.2628,47.5681
function@x264_cabac_mb_type_intra,0,0,0,0,0,3,0,0,0,0,2.24706
function@x264_cabac_mb_mvd_cpn,0,15,0,2,1,1,0,10.1373,2,0.607843,5
function@x264_rd_cost_part,41,44,0,36,42,38,8.48275,6.1811,8.58854,6.82821,14.6922
function@x264_rd_cost_mb,349,42,0,34,43,11,55.432,6.81982,16.6393,6.93391,8.58008
function@ssd_plane,6,11,0,9,13,9,0.549451,2.82418,2.59341,3.7967,2.52198
function@x264_macroblock_size_cabac,883,85,0,88,108,132,367.341,54.4039,31.7375,35.5589,82.9871
function@x264_cabac_mb_ref,2,1,0,2,2,5,0.64,10.2,10.52,10.52,12.84
function@x264_cabac_mb8x8_mvd,18,9,0,10,9,19,3.6,1.8,2.8,1.8,4.6
function@x264_cabac_mb_mvd_cpn,55,12,0,10,18,4,29.5686,12.3824,8.30392,11.3824,6.15686
function@block_residual_write_cabac_internal,29,13,0,12,6,9,148.429,91.2222,59.4921,42.1905,23.4762
function@cavlc_mb_mvd,2,2,0,1,0,1,2,2,1,0,1
function@cavlc_mb8x8_mvd,2,11,0,16,9,4,0.4,2.2,1.8,1.1,2.4
function@block_residual_write_cavlc,35,15,0,11,11,7,57.3125,57.875,18.5,22.375,45
function@x264_macroblock_luma_write_cavlc,13,2,0,4,6,7,97.25,31.9375,12.5,49.25,45.875
function@x264_rdo_init,33,8,0,18,26,19,4381,10319,63.75,1185,20765.6
function@x264_quant_dc_trellis,1,0,0,1,0,1,0.5,0,0.5,0,1
function@quant_trellis_cabac,219,41,0,58,55,35,17821.6,5471.94,2756.63,2321.75,7744.55
function@x264_quant_4x4_trellis,1,2,0,3,1,2,1,2,3,1,2
function@x264_quant_8x8_trellis,0,1,0,1,0,3,0,1,1,0,3
function@x264_analyse_init_costs,21,8,0,3,21,32,10.4732,10.1886,0.725901,3.7544,40.026
function@x264_analyse_free_costs,0,0,0,0,0,2,0,0,0,0,63.75
function@x264_analyse_weight_frame,13,9,0,12,5,1,6.22,13.84,3.2,1.44,9.92
function@x264_macroblock_analyse,365,226,0,246,93,104,335.022,309.53,89.3332,28.4389,182.902
function@x264_mb_analyse_intra,203,48,0,33,20,22,2392.89,1204.83,141.383,111.246,502.847
function@x264_intra_rd,0,0,0,0,0,13,0,0,0,0,7.25
function@x264_intra_rd_refine,285,68,0,93,69,40,15880,6030.23,5788.67,2725.49,2455.25
function@x264_mb_analyse_init_qp,0,0,0,0,0,1,0,0,0,0,1
function@x264_mb_analyse_inter_p8x8_mixed_ref,62,20,0,18,7,8,16099.8,17234.8,291.182,98.1343,5671.49
function@x264_mb_analyse_inter_p8x8,44,12,0,10,10,3,1038.67,295.286,104.048,167.381,65.9524
function@x264_mb_cache_mv_p8x8,0,0,0,0,0,5,0,0,0,0,4.4
function@x264_mb_analyse_inter_p16x8,41,21,0,15,1,4,656.842,341.895,228.358,21.2211,45.1158
function@x264_mb_analyse_inter_p8x16,56,16,0,11,2,5,943.832,263.747,185.242,42.7789,66.3368
function@x264_mb_analyse_intra_chroma,12,0,0,1,0,5,31.8125,0,1,0,14
function@x264_mb_analyse_transform_rd,0,0,0,0,0,7,0,0,0,0,3.03846
function@x264_analyse_update_cache,0,0,0,0,0,38,0,0,0,0,4.82102
function@x264_mb_analyse_b_rd,0,0,0,0,0,23,0,0,0,0,7.4375
function@x264_mb_analyse_inter_b8x8_mixed_ref,58,31,0,26,10,14,9384.73,9760.73,1578.88,1419,4034
function@x264_mb_analyse_inter_b8x8,69,26,0,35,9,6,2208,832,996,195,130
function@x264_mb_analyse_inter_b16x8,135,23,0,24,4,6,1473.9,268.19,205.365,48.7619,82.2698
function@x264_mb_analyse_inter_b8x16,139,24,0,12,4,14,1748.1,284.444,164.54,47.7619,121.675
function@x264_refine_bidir,0,0,0,0,0,2,0,0,0,0,2
function@x264_rd_cost_i8x8_chroma,23,8,0,17,13,20,11.707,2.57812,7.64868,6.23242,13.0923
function@x264_mb_analyse_inter_p4x4_chroma,36,56,0,17,8,5,14,20.25,9.95833,4.70833,5
function@x264_mb_cache_mv_b8x8,27,1,0,6,3,7,8.57353,0.5,4.11765,1.61765,4.61765
function@x264_weight_plane_analyse,10,8,0,7,10,3,350.286,664.786,4.2381,348.286,3
function@x264_weights_analyse,102,47,0,41,43,13,16995.2,16503.4,761.798,10103,3317.3
function@x264_slicetype_frame_cost,40,5,0,14,3,12,31.5862,1.65137,8.93848,1.04297,426.288
function@x264_slicetype_mb_cost,167,62,0,42,27,30,163.992,108.969,70.6875,27.375,29.0781
function@x264_slicetype_analyse,174,152,0,80,74,63,9970.55,3310.83,2071.06,2760.07,3982.85
function@scenecut,15,6,0,7,2,5,33.55,20.325,4.4,6.575,118.5
function@scenecut_internal,11,4,0,6,0,6,8.22353,3.75294,6,0,4.68235
function@x264_macroblock_tree_propagate,190,63,0,67,55,7,6795.44,4135.91,2648.17,2528.41,549.719
function@x264_slicetype_frame_cost_recalculate,8,0,0,5,4,2,1254.57,0,16.2857,316.667,127.952
function@x264_slicetype_decide,53,33,0,16,10,18,132.326,88.5359,43.6092,26.4085,144.934
