@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,66, 37, 0, 57, 55, 59, 0.163891, 0.0980607, 1.29743, 4.44904, 19.9543
~&SPILL_STATS,4, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2
~&SPILL_STATS,55, 11, 0, 27, 5, 40, 899.901, 236.412, 440.553, 49.584, 617.034
~&SPILL_STATS,9, 0, 0, 4, 0, 12, 11.0285, 0, 1.30089, 0, 28.5778
~&SPILL_STATS,3, 4, 0, 6, 1, 10, 80, 212, 90, 2, 272
~&SPILL_STATS,6, 2, 0, 6, 0, 2, 1.12171, 0.529605, 1.20395, 0, 0.296053
~&SPILL_STATS,85, 20, 0, 34, 0, 73, 21.6715, 79.4248, 7.22613, 0, 141.794
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,220, 54, 0, 137, 7, 135, 17649.9, 8896.05, 10287.5, 33.3869, 15382.2
~&SPILL_STATS,47, 11, 0, 29, 0, 19, 65.9782, 24.6673, 19.1293, 0, 35.8792
~&SPILL_STATS,0, 1, 0, 2, 0, 0, 0, 0.154412, 0.147059, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 20.45
~&SPILL_STATS,19, 1, 0, 12, 2, 10, 4.44168, 0.0527343, 6.34541, 0.210526, 29.3651
~&SPILL_STATS,98, 25, 0, 60, 1, 24, 120.688, 15.932, 39.7747, 0.1875, 10.0405
~&SPILL_STATS,16, 10, 0, 22, 0, 20, 3.54087, 4.16346, 1.87179, 0, 6.72035
~&SPILL_STATS,17, 3, 0, 10, 0, 14, 91.3095, 4.47619, 32, 0, 56.381
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 7.57353
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,13, 4, 0, 15, 1, 18, 5.43781, 0.735532, 5.85702, 0.208333, 15.2408
~&SPILL_STATS,2, 0, 0, 2, 0, 0, 1.5, 0, 1.5, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 9, 0.625, 0, 0.625, 0, 71.175
~&SPILL_STATS,24, 6, 0, 15, 0, 40, 255.09, 171.466, 108.821, 0, 425.94
~&SPILL_STATS,23, 10, 0, 21, 1, 22, 311.022, 207.647, 157.213, 0.0514706, 405.456
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.48438
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 5.09375
~&SPILL_STATS,38, 24, 0, 22, 4, 36, 241.744, 219.641, 215.051, 20.9795, 302.024
~&SPILL_STATS,10, 2, 0, 8, 6, 11, 406.333, 2.60784, 19.2353, 4.23529, 266.627
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,60, 53, 0, 31, 14, 81, 15.8209, 18.0938, 12.3693, 2.5342, 38.5723
~&SPILL_STATS,9, 10, 0, 16, 0, 14, 46.4147, 17.043, 33.3649, 0, 66.1019
~&SPILL_STATS,19, 5, 0, 14, 2, 44, 49.9375, 35.9375, 11, 1, 105.875
~&SPILL_STATS,25, 27, 0, 21, 10, 23, 5.55469, 4.68108, 8.42212, 0.566895, 7.38322
~&SPILL_STATS,0, 1, 0, 1, 0, 4, 0, 0.234375, 0.375, 0, 1.14062
