@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3.11388
~&SPILL_STATS,0, 1, 0, 3, 1, 5, 0, 1, 1.37129, 0.0098877, 3.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3.11388
~&SPILL_STATS,0, 1, 0, 3, 1, 4, 0, 1, 1.37129, 0.0098877, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 1, 0, 3, 1, 1, 1, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1.8529
~&SPILL_STATS,0, 1, 0, 3, 1, 5, 0, 1, 1.37129, 0.0098877, 3.74258
~&SPILL_STATS,0, 1, 0, 3, 1, 4, 0, 1, 1.37129, 0.0098877, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1.8529
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 3, 0, 1, 0, 7, 0, 1, 1, 0, 3.11388
~&SPILL_STATS,0, 3, 0, 1, 0, 7, 0, 1, 1, 0, 3.11388
~&SPILL_STATS,0, 3, 0, 1, 0, 7, 0, 1, 1, 0, 3.11388
~&SPILL_STATS,0, 3, 0, 1, 0, 7, 0, 1, 1, 0, 3.11388
~&SPILL_STATS,1, 5, 0, 5, 2, 6, 1, 2.28, 3.96, 1.36, 5.28
~&SPILL_STATS,0, 1, 0, 3, 1, 4, 0, 1, 1.36959, 0.00988875, 2.74166
~&SPILL_STATS,0, 2, 0, 2, 1, 10, 0, 2, 2, 1, 4.2225
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1.8529
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5.89286
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2.28571
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.625
~&SPILL_STATS,1, 1, 0, 1, 3, 5, 1, 7.57463, 0.477612, 1.23881, 10.2239
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6.2809
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,1, 7, 0, 4, 0, 3, 1, 67.9474, 3.21053, 0, 27.5263
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2.21387
