@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4.7327
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4.72281
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 1, 0, 1, 0, 3, 0, 1, 1, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1.48208
~&SPILL_STATS,0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7.70303
~&SPILL_STATS,0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5.71292
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1.48208
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,2, 2, 0, 3, 0, 5, 1.36, 0.96, 2.36, 0, 4.28
~&SPILL_STATS,4, 0, 0, 1, 0, 8, 0.997528, 0, 1, 0, 3.72806
~&SPILL_STATS,0, 3, 0, 5, 1, 7, 0, 3, 2.98764, 0.00988875, 4.10136
~&SPILL_STATS,0, 2, 0, 1, 0, 5, 0, 0.369592, 0.370828, 0, 1.48208
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5.01786
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.28571
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.625
~&SPILL_STATS,0, 1, 0, 1, 0, 7, 0, 7.57463, 0.477612, 0, 11.3731
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4.92135
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 3, 0, 5, 0, 3, 26.9474, 33.2632, 16.6842, 0, 27.5263
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.213867
~&SPILL_STATS,2, 4, 0, 6, 0, 2, 5.76316, 7.14204, 3.71031, 0, 5.67311
~&SPILL_STATS,3, 3, 0, 6, 0, 2, 5.7913, 7.1139, 6.45823, 0, 5.67311
~&SPILL_STATS,3, 3, 0, 6, 0, 2, 5.7913, 7.1139, 6.45823, 0, 5.67311
~&SPILL_STATS,3, 3, 0, 6, 0, 2, 5.80818, 7.1139, 6.45823, 0, 5.67311
~&SPILL_STATS,10, 4, 0, 11, 0, 5, 1.9088, 1.42201, 1.97515, 0, 1.4228
~&SPILL_STATS,14, 8, 0, 15, 2, 12, 5.96467, 7.24485, 6.61076, 0.00237565, 7.85001
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.61765
~&SPILL_STATS,13, 5, 0, 8, 2, 14, 4.07508, 3.64594, 4.15335, 0.105527, 7.91134
~&SPILL_STATS,3, 2, 0, 7, 2, 16, 0.0038296, 0.00156976, 0.0175059, 0.00469923, 2.14985
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,3, 0, 0, 4, 1, 24, 0.00118972, 0, 0.00626564, 0.00117481, 2.13377
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,3, 0, 0, 4, 1, 24, 0.00118972, 0, 0.00626564, 0.00117481, 2.13377
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,3, 0, 0, 4, 1, 24, 0.00118972, 0, 0.00626564, 0.00117481, 2.13377
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,3, 0, 0, 4, 1, 24, 0.00118972, 0, 0.00626564, 0.00117481, 2.13377
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,3, 0, 0, 4, 1, 24, 0.00118972, 0, 0.00626564, 0.00117481, 2.13377
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,3, 0, 0, 4, 1, 24, 0.00118972, 0, 0.00626564, 0.00117481, 2.13377
