@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3.48517
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3.48517
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 1, 0, 3, 1, 1, 1, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2.22373
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2.22373
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 3, 0, 1, 0, 8, 0, 1, 1, 0, 3.48517
~&SPILL_STATS,0, 3, 0, 1, 0, 8, 0, 1, 1, 0, 3.48517
~&SPILL_STATS,0, 3, 0, 1, 0, 8, 0, 1, 1, 0, 3.48517
~&SPILL_STATS,0, 3, 0, 1, 0, 8, 0, 1, 1, 0, 3.48517
~&SPILL_STATS,1, 5, 0, 5, 2, 7, 1, 2.28, 3.96, 1.36, 6.28
~&SPILL_STATS,0, 1, 0, 1, 0, 5, 0, 1, 1, 0, 2.74042
~&SPILL_STATS,0, 2, 0, 2, 1, 8, 0, 2, 2, 1, 3.48084
~&SPILL_STATS,0, 3, 0, 1, 0, 7, 0, 0.997528, 1, 0, 2.22373
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5.05357
