@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3.11388
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4.11388
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3.11388
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3.11388
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 1, 0, 3, 1, 1, 1, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1.8529
~&SPILL_STATS,1, 1, 0, 2, 0, 5, 1, 1, 2, 0, 2.11388
~&SPILL_STATS,1, 0, 0, 1, 0, 4, 1, 0, 1, 0, 1.11388
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1.8529
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 6, 0, 2, 3, 7, 0, 2, 2, 1.74258, 3.11388
~&SPILL_STATS,0, 6, 0, 2, 1, 7, 0, 2, 2, 1, 3.11388
~&SPILL_STATS,0, 6, 0, 2, 1, 7, 0, 2, 2, 1, 3.11388
~&SPILL_STATS,0, 6, 0, 2, 1, 7, 0, 2, 2, 1, 3.11388
~&SPILL_STATS,1, 3, 0, 4, 4, 6, 1, 1.32, 2.96, 3.36, 5.28
~&SPILL_STATS,1, 2, 0, 3, 1, 4, 1, 2, 3, 1, 1.11125
~&SPILL_STATS,0, 3, 0, 5, 2, 8, 0, 3, 3.36959, 1.00989, 3.8529
~&SPILL_STATS,0, 3, 0, 1, 0, 6, 0, 0.997528, 1, 0, 1.8529
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.05357
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.28571
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.625
~&SPILL_STATS,1, 1, 0, 1, 3, 5, 1, 7.57463, 0.477612, 1.23881, 10.2239
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6.2809
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,2, 5, 0, 3, 2, 4, 14.2632, 47.7368, 15.4737, 13.8684, 15.4737
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2.21387
~&SPILL_STATS,7, 5, 0, 6, 7, 3, 7.12195, 6.91512, 1.72321, 6.30004, 3.10389
~&SPILL_STATS,5, 6, 0, 5, 5, 3, 6.96014, 11.2093, 7.19089, 3.46349, 3.10389
~&SPILL_STATS,5, 6, 0, 5, 5, 3, 6.96014, 11.2093, 7.19089, 3.46349, 3.10389
~&SPILL_STATS,6, 6, 0, 5, 5, 3, 6.98828, 11.2093, 7.19089, 3.46349, 3.10389
~&SPILL_STATS,14, 6, 0, 7, 7, 10, 3.47852, 1.6441, 1.73459, 1.48058, 2.34793
