@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4.72281
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 1, 0, 1, 0, 3, 0, 1, 1, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1.48208
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3.74258
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1.48208
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,0, 2, 0, 1, 0, 6, 0, 0.371292, 0.371292, 0, 2.74258
~&SPILL_STATS,2, 1, 0, 2, 0, 6, 1.36, 0.36, 1.76, 0, 5.28
~&SPILL_STATS,3, 0, 0, 1, 0, 5, 0.987639, 0, 0.990111, 0, 2.74042
~&SPILL_STATS,9, 1, 0, 4, 0, 9, 2.96292, 1, 3.97033, 0, 4.47095
~&SPILL_STATS,0, 2, 0, 1, 0, 5, 0, 0.369592, 0.370828, 0, 1.48208
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5.01786
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.28571
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.625
~&SPILL_STATS,0, 1, 0, 1, 0, 10, 0, 7.57463, 0.477612, 0, 13.2388
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4.92135
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 3, 0, 5, 0, 3, 26.9474, 33.2632, 16.6842, 0, 27.5263
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.213867
~&SPILL_STATS,2, 4, 0, 6, 0, 2, 5.76316, 7.14204, 3.71031, 0, 5.67311
~&SPILL_STATS,3, 3, 0, 6, 0, 2, 5.7913, 7.1139, 6.45823, 0, 5.67311
~&SPILL_STATS,3, 3, 0, 6, 0, 2, 5.7913, 7.1139, 6.45823, 0, 5.67311
~&SPILL_STATS,3, 3, 0, 6, 0, 2, 5.80818, 7.1139, 6.45823, 0, 5.67311
~&SPILL_STATS,10, 4, 0, 11, 0, 11, 1.9088, 1.42201, 1.97515, 0, 3.53572
~&SPILL_STATS,14, 8, 0, 15, 2, 14, 5.96467, 7.24485, 6.61076, 0.00237565, 7.85389
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.61765
~&SPILL_STATS,13, 2, 0, 10, 0, 14, 5.77054, 1.80626, 4.22018, 0, 7.90299
~&SPILL_STATS,2, 2, 0, 5, 1, 18, 0.00265479, 0.00156976, 0.0128066, 0.00234962, 2.1522
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,6, 0, 0, 6, 1, 22, 0.00200658, 0, 0.00803703, 0.00117481, 2.13185
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,6, 0, 0, 6, 1, 22, 0.00200658, 0, 0.00803703, 0.00117481, 2.13185
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,6, 0, 0, 6, 1, 22, 0.00200658, 0, 0.00803703, 0.00117481, 2.13185
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,6, 0, 0, 6, 1, 22, 0.00200658, 0, 0.00803703, 0.00117481, 2.13185
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,6, 0, 0, 6, 1, 22, 0.00200658, 0, 0.00803703, 0.00117481, 2.13185
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 5.80818, 7.1139, 6.45823, 0, 5.71813
~&SPILL_STATS,6, 0, 0, 6, 1, 22, 0.00200658, 0, 0.00803703, 0.00117481, 2.13185
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
