@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 892.5
~&SPILL_STATS,4, 0, 0, 2, 2, 1, 31.5, 0, 15.75, 2, 31.875
~&SPILL_STATS,25, 17, 0, 12, 6, 6, 8.71875, 6.5, 6.6875, 1.5, 1.625
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.9375
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,146, 30, 0, 41, 24, 1, 55.0244, 12.9739, 19.3827, 15.2638, 0.249186
~&SPILL_STATS,44, 4, 0, 7, 8, 2, 18.4412, 1.65686, 6.25, 7.25, 1.37255
~&SPILL_STATS,21, 2, 0, 5, 14, 5, 136.297, 31.5078, 5.35938, 24.8906, 50.3672
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 30.7344
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 13.5
~&SPILL_STATS,2, 1, 0, 1, 3, 1, 63.2353, 32.1176, 31.1176, 34.1176, 0.623529
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,407, 132, 0, 95, 55, 43, 654.875, 310.965, 249.849, 97.5117, 53.541
~&SPILL_STATS,50, 42, 0, 52, 22, 14, 16.833, 28.5923, 11.1603, 4.1777, 5.09222
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.14015
~&SPILL_STATS,25, 0, 0, 10, 10, 3, 109.838, 0, 45.4853, 49.9853, 30.1029
~&SPILL_STATS,12, 7, 0, 6, 5, 3, 6.70588, 10.5059, 8.75294, 6.36471, 4
~&SPILL_STATS,157, 188, 0, 119, 98, 52, 1.13251, 0.937788, 2.82308, 0.655571, 0.54235
~&SPILL_STATS,59, 6, 0, 19, 7, 5, 117.792, 4.35417, 44.3333, 47.6042, 44.0833
~&SPILL_STATS,11, 0, 0, 4, 3, 29, 5, 0, 1.75, 1.5, 195.812
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,35, 46, 0, 27, 28, 11, 82.2682, 80.8837, 57.3659, 54.9442, 50.1156
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,11, 16, 0, 21, 5, 7, 11.1028, 27.4061, 14.1634, 1.35044, 25.9154
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,209, 128, 0, 122, 127, 37, 1075.96, 707.879, 791.424, 426.188, 395.91
~&SPILL_STATS,15, 7, 0, 8, 3, 12, 11.8838, 6.23096, 7.34082, 2.67041, 8.45209
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,0, 2, 0, 0, 6, 3, 0, 1.49365, 0, 5.33333, 6.66667
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 26.25
~&SPILL_STATS,20, 16, 0, 4, 8, 53, 9.42362, 10.8724, 0.8, 9.02677, 45.7244
~&SPILL_STATS,50, 27, 0, 46, 13, 8, 160.215, 223.057, 137.322, 89.4413, 43.4777
~&SPILL_STATS,18, 14, 0, 10, 9, 6, 90, 1284, 66, 41.125, 48.5
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,13, 15, 0, 10, 8, 13, 8.875, 136.5, 27, 24, 116.027
~&SPILL_STATS,9, 14, 0, 10, 14, 9, 83.625, 1295.12, 83, 62.125, 49.3008
~&SPILL_STATS,12, 20, 0, 15, 4, 3, 88, 2304, 51.875, 27, 820
~&SPILL_STATS,13, 19, 0, 14, 9, 8, 8.25, 69.25, 10.25, 5.75, 81.375
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2079.62
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 1, 0, 1, 0, 4, 0, 31.875, 1, 0, 127.5
~&SPILL_STATS,0, 13, 0, 13, 0, 52, 0, 414.375, 13, 0, 1657.5
