@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.37037
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 5, 0, 3, 5, 7, 23.2491, 32.8198, 31.9988, 3.93742, 15.5141
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,5, 1, 0, 5, 0, 4, 61.0145, 2.32433e-05, 54.3877, 0, 16.2536
~&SPILL_STATS,4, 1, 0, 5, 0, 3, 28, 1, 25.25, 0, 24
~&SPILL_STATS,3, 1, 0, 3, 2, 22, 64.4901, 0.00400355, 0.503113, 0.378878, 478.008
~&SPILL_STATS,0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 44.8617
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 2, 14, 0.000312744, 0, 0.624609, 1.62461, 7.87279
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 4, 0, 7, 0, 14, 51.9792, 44.5541, 123.779, 0, 831.132
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 0, 0, 1, 0, 10, 1.62499, 0, 0.999999, 0, 61.9953
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,1, 2, 0, 2, 0, 13, 0.333333, 0.333334, 2, 0, 8.5
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,18, 8, 0, 16, 6, 28, 2.55462, 5.09708, 2.69817, 0.817371, 19.4553
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 8, 6.2497, 0, 0.625, 0, 109.737
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 2, 14, 0.000312744, 0, 0.624609, 1.62461, 7.87279
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.1587
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53616e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 2, 0, 5, 0.388889, 0.388889, 0.777778, 0, 2.55556
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,27, 5, 0, 13, 4, 25, 97.4982, 9.24986, 64.3738, 3.81245, 97.4983
~&SPILL_STATS,2, 1, 0, 2, 0, 19, 1.25, 0.624686, 1.25, 0, 33.2491
~&SPILL_STATS,1, 2, 0, 2, 0, 7, 0.5, 1, 1, 0, 4
~&SPILL_STATS,0, 3, 0, 2, 0, 6, 0, 1.5, 1.5, 0, 6
~&SPILL_STATS,45, 8, 0, 25, 1, 82, 14507.9, 8880.34, 10590.5, 0.5, 47155.9
~&SPILL_STATS,7, 3, 0, 6, 1, 33, 13.1628, 12.0698, 19.1085, 0.193798, 72.1473
~&SPILL_STATS,24, 1, 0, 6, 0, 18, 40.3902, 12.4634, 34.1951, 0, 395.561
~&SPILL_STATS,5, 1, 0, 4, 0, 26, 22.7188, 1, 20.75, 0, 155
~&SPILL_STATS,5, 0, 0, 4, 0, 29, 7.71875, 0, 5.375, 0, 158.25
