@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.37037
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 5, 0, 3, 5, 6, 23.2491, 32.8198, 31.9988, 3.93742, 15.4994
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,5, 1, 0, 5, 0, 4, 61.0145, 2.32433e-05, 54.3877, 0, 16.2536
~&SPILL_STATS,5, 0, 0, 5, 0, 5, 28.5, 0, 24.75, 0, 40
~&SPILL_STATS,3, 1, 0, 3, 2, 22, 64.4901, 0.00400355, 0.503113, 0.378878, 478.008
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 43.862
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 2, 14, 0.000312744, 0, 0.624609, 1.62461, 7.87279
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 4, 0, 7, 0, 14, 51.9792, 44.5541, 123.779, 0, 831.132
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 0, 0, 1, 0, 10, 1.62499, 0, 0.999999, 0, 61.9953
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,1, 2, 0, 2, 0, 13, 0.333333, 0.333334, 2, 0, 8.5
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,14, 6, 0, 11, 3, 29, 1.70503, 4.74553, 1.76363, 0.410151, 18.7976
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 8, 6.2497, 0, 0.625, 0, 109.737
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 2, 14, 0.000312744, 0, 0.624609, 1.62461, 7.87279
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.1587
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53616e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 2, 0, 5, 0.388889, 0.388889, 0.777778, 0, 2.55556
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,26, 2, 0, 15, 0, 38, 81.1235, 4.68743, 66.3113, 0, 160.685
~&SPILL_STATS,2, 1, 0, 2, 0, 19, 1.25, 0.624686, 1.25, 0, 33.2491
~&SPILL_STATS,1, 2, 0, 2, 0, 6, 0.5, 1, 1, 0, 3.5
~&SPILL_STATS,0, 4, 0, 2, 0, 5, 0, 2, 2, 0, 5
~&SPILL_STATS,40, 11, 0, 25, 1, 73, 22340, 9144.25, 11454.5, 0.5, 42603.1
~&SPILL_STATS,8, 3, 0, 8, 1, 33, 16.3333, 12.0698, 20.9225, 0.193798, 72.3333
~&SPILL_STATS,7, 1, 0, 4, 0, 9, 41.1951, 12.4634, 36.5366, 0, 352.195
~&SPILL_STATS,3, 0, 0, 2, 0, 24, 6.09375, 0, 3.75, 0, 154.375
~&SPILL_STATS,5, 1, 0, 4, 0, 29, 7.34375, 1, 5.375, 0, 157
