@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.518519
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 5, 0, 4, 6, 9, 31.9988, 32.8198, 47.4982, 19.4368, 62.9976
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 2, 0, 4, 1, 5, 77.7602, 15.2536, 47.2529, 15.2536, 46.7609
~&SPILL_STATS,5, 1, 0, 4, 1, 5, 36, 8, 24.25, 8, 33.754
~&SPILL_STATS,3, 1, 0, 3, 2, 25, 64.4901, 0.00400355, 0.503113, 0.378878, 479.02
~&SPILL_STATS,0, 2, 0, 1, 0, 10, 0, 1.62469, 1, 0, 43.4868
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 3, 0, 4, 5, 11, 5.99656, 0.00149831, 3.62273, 4.62367, 4.87466
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,10, 9, 0, 6, 3, 15, 170.807, 136.144, 100.025, 59.4127, 843.507
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,10, 0, 0, 1, 0, 8, 6.87498, 0, 1, 0, 59.9953
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,3, 2, 0, 2, 0, 9, 2.33333, 0.333334, 2, 0, 6.33333
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 32.9697
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,44, 15, 0, 14, 23, 13, 6.50118, 6.10779, 1.9731, 3.5229, 16.1844
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 8, 6.2497, 0, 0.625, 0, 109.737
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 3, 0, 4, 5, 11, 5.99656, 0.00149831, 3.62273, 4.62367, 4.87466
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.1587
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53616e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 2, 0, 2, 1, 5, 0.62963, 1.01852, 1.01852, 0.314815, 2.55556
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,41, 16, 0, 14, 9, 19, 185.426, 103.436, 100.623, 18.8747, 64.8817
~&SPILL_STATS,7, 2, 0, 2, 6, 14, 3.90594, 1.24937, 1.25, 3.75, 34.8925
~&SPILL_STATS,2, 5, 0, 3, 2, 6, 1, 3, 2, 1.5, 3.5
~&SPILL_STATS,0, 2, 0, 1, 0, 5, 0, 1, 1, 0, 5
~&SPILL_STATS,72, 38, 0, 27, 15, 33, 47478.8, 19782.9, 9057.78, 8376.19, 17760
~&SPILL_STATS,20, 3, 0, 5, 6, 23, 47.2481, 6.33333, 3.36434, 18.3101, 36.7442
~&SPILL_STATS,14, 1, 0, 4, 1, 10, 61.1951, 12.4634, 31.439, 12.7805, 355.61
~&SPILL_STATS,13, 11, 0, 9, 14, 9, 18.125, 47.2188, 61.1875, 10.25, 44.6875
