@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12.5294
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 524.719
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 9.7109
~&SPILL_STATS,1, 4, 0, 4, 0, 8, 0.0581395, 2.34109, 0.20155, 0, 4.66667
~&SPILL_STATS,12, 1, 0, 6, 0, 3, 1.34334, 0.0235828, 0.384942, 0, 1.13447
~&SPILL_STATS,42, 13, 0, 30, 3, 31, 36.9243, 9.10351, 28.1466, 0.144291, 465.635
~&SPILL_STATS,6, 1, 0, 7, 0, 7, 1650.67, 406.333, 1277.29, 0, 21993.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.75
~&SPILL_STATS,2, 3, 0, 3, 1, 5, 32.9524, 469.762, 53.2381, 6.33333, 876.048
~&SPILL_STATS,4, 1, 0, 5, 0, 20, 959.905, 406.333, 586.524, 0, 71771.1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 2, 0, 2, 0, 0, 0, 1.77163, 1.94118, 0, 0
~&SPILL_STATS,0, 2, 0, 2, 0, 0, 0, 1.77778, 1.94444, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 4, 0, 11, 0, 1, 7, 4, 11, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,60, 13, 0, 23, 1, 33, 88.1804, 92.5777, 46.4284, 0.236277, 57.0231
~&SPILL_STATS,37, 14, 0, 28, 0, 24, 675.628, 176.176, 350.922, 0, 483.157
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.92
~&SPILL_STATS,1, 1, 0, 1, 0, 6, 6.25, 12.5, 12.5, 0, 221.25
~&SPILL_STATS,5, 1, 0, 6, 0, 3, 5567.58, 426.583, 1175.5, 0, 8960.83
~&SPILL_STATS,5, 1, 0, 6, 0, 4, 5567.58, 426.583, 1175.5, 0, 13227.4
~&SPILL_STATS,5, 1, 0, 6, 0, 3, 5567.58, 426.583, 1175.5, 0, 8960.83
~&SPILL_STATS,5, 1, 0, 6, 0, 4, 5567.58, 426.583, 1175.5, 0, 13227.4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.08075
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6.2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.68
~&SPILL_STATS,18, 3, 0, 21, 0, 25, 595.644, 146.621, 460.934, 0, 7937.29
~&SPILL_STATS,22, 3, 0, 25, 0, 22, 596.144, 146.621, 461.434, 0, 7936.92
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,38, 5, 0, 43, 0, 36, 551.903, 135.701, 427.224, 0, 7345.9
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,13, 1, 0, 11, 0, 14, 235.529, 57.4449, 181.167, 0, 3113.55
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,9, 0, 0, 3, 0, 2, 5.625, 0, 1.875, 0, 1.25
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,4, 1, 0, 5, 0, 2, 1239.29, 406.333, 865.905, 0, 8533.29
~&SPILL_STATS,1, 0, 0, 1, 1, 9, 5, 0, 5, 0.156863, 43.0196
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,10, 2, 0, 11, 0, 4, 10, 2, 11, 0, 3.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,99, 4, 0, 50, 12, 68, 19672.5, 37.0743, 2051.29, 5.6875, 18461.6
~&SPILL_STATS,8, 0, 0, 6, 0, 5, 17696.3, 0, 1201.14, 0, 17320.5
~&SPILL_STATS,6, 7, 0, 11, 0, 0, 5.88235, 6.70588, 10.9412, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,43, 6, 0, 14, 6, 54, 6.26063, 0.234638, 1.46383, 0.12987, 7.66898
~&SPILL_STATS,255, 24, 0, 76, 2, 184, 416.89, 87.0677, 179.82, 0.867772, 282.648
~&SPILL_STATS,113, 14, 0, 46, 4, 116, 109.547, 21.0189, 66.9436, 1.23342, 105.045
~&SPILL_STATS,4, 2, 0, 7, 1, 33, 1.31023, 0.561056, 2.68317, 0.186469, 10.2607
~&SPILL_STATS,155, 28, 0, 62, 5, 94, 37.9253, 14.757, 15.9865, 0.416391, 42.2306
~&SPILL_STATS,6, 1, 0, 6, 0, 14, 1.87158, 0.164062, 1.86328, 0, 3.78125
~&SPILL_STATS,86, 12, 0, 57, 4, 118, 12.6891, 0.236, 11.4857, 0.146798, 18.4029
~&SPILL_STATS,7, 5, 0, 8, 0, 5, 0.272539, 0.45135, 0.3845, 0, 2.0188
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 2
~&SPILL_STATS,130, 64, 0, 47, 3, 87, 88.5232, 174.245, 14.822, 0.469033, 93.1356
~&SPILL_STATS,23, 7, 0, 12, 1, 22, 312.095, 171.524, 147.333, 0.380952, 1529.05
~&SPILL_STATS,50, 21, 0, 21, 4, 32, 836.125, 929.75, 137.625, 8.75, 1204.88
~&SPILL_STATS,71, 14, 0, 25, 5, 32, 13.2369, 0.671514, 4.2398, 1.21659, 36.5527
~&SPILL_STATS,18, 2, 0, 17, 8, 93, 37.2453, 1.58491, 12.6981, 3.11321, 109.34
~&SPILL_STATS,28, 5, 0, 11, 2, 16, 1718.19, 102.524, 784.667, 1.38095, 819.286
~&SPILL_STATS,44, 24, 0, 18, 4, 37, 750.062, 1051.5, 118.188, 8.75, 1266.38
~&SPILL_STATS,71, 14, 0, 25, 5, 32, 13.2369, 0.671514, 4.2398, 1.21659, 36.5527
~&SPILL_STATS,33, 2, 0, 7, 0, 12, 35.2453, 1.58491, 19.8491, 0, 61.4717
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6.4375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 171.484
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 126.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
~&SPILL_STATS,16, 5, 0, 13, 6, 13, 88.8501, 25.0787, 69.3572, 6.1916, 349.2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,16, 1, 0, 10, 4, 15, 547.24, 12.76, 72.36, 21.04, 433.08
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.553634
~&SPILL_STATS,98, 17, 0, 57, 32, 22, 11421.9, 6614.14, 6884.3, 2983.92, 9178.44
~&SPILL_STATS,15, 0, 0, 9, 1, 7, 46673.9, 0, 8438.59, 235.294, 30871.2
~&SPILL_STATS,22, 7, 0, 17, 2, 20, 5614.38, 4533.68, 626.544, 7.58272, 18281.1
~&SPILL_STATS,33, 2, 0, 22, 0, 20, 445921, 4155.6, 115247, 0, 234686
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.5551
~&SPILL_STATS,6, 7, 0, 11, 0, 1, 6, 7, 11, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,7, 7, 0, 12, 1, 15, 29.3124, 37.0624, 5.49999, 0.499999, 53.6249
~&SPILL_STATS,7, 7, 0, 12, 1, 15, 29.3124, 37.0624, 5.49999, 0.499999, 53.6249
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
