@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12.5294
~&SPILL_STATS,1, 1, 0, 1, 0, 2, 12.7812, 12.7812, 12.7812, 0, 511.938
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 9.7109
~&SPILL_STATS,6, 3, 0, 4, 5, 3, 5.28682, 2.28295, 1.17054, 2.34884, 1.29845
~&SPILL_STATS,21, 3, 0, 6, 3, 1, 2.5449, 1.22982, 0.484107, 1.04145, 0.154973
~&SPILL_STATS,65, 33, 0, 27, 33, 20, 27.4377, 105.771, 3.11637, 217.932, 464.845
~&SPILL_STATS,12, 5, 0, 4, 10, 6, 2127.48, 854.238, 54.2381, 1266.62, 21587.2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.75
~&SPILL_STATS,4, 7, 0, 4, 2, 5, 65.9048, 524, 54.2381, 19, 864.381
~&SPILL_STATS,6, 5, 0, 4, 4, 19, 1272.24, 854.238, 54.2381, 838, 71364.7
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 1, 0, 4, 0, 0, 2, 0.885815, 2.94118, 0, 0
~&SPILL_STATS,2, 1, 0, 4, 0, 0, 2, 0.888889, 2.94444, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,19, 23, 0, 9, 0, 1, 19, 23, 9, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,120, 35, 0, 19, 15, 21, 415.927, 199.162, 45.5964, 67.0781, 44.2785
~&SPILL_STATS,67, 38, 0, 24, 19, 11, 1319.76, 884.078, 247.431, 205.804, 164.098
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.92
~&SPILL_STATS,2, 3, 0, 2, 0, 1, 26.25, 45, 20.625, 0, 200
~&SPILL_STATS,7, 6, 0, 4, 6, 1, 9868.75, 9429.92, 56.75, 9679.5, 1
~&SPILL_STATS,7, 6, 0, 4, 6, 2, 9868.75, 9429.92, 56.75, 9679.5, 4267.58
~&SPILL_STATS,7, 6, 0, 4, 6, 1, 9868.75, 9429.92, 56.75, 9679.5, 1
~&SPILL_STATS,7, 6, 0, 4, 6, 2, 9868.75, 9429.92, 56.75, 9679.5, 4267.58
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.08075
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7.2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.68
~&SPILL_STATS,37, 15, 0, 13, 34, 18, 768.73, 308.264, 20.6034, 458.075, 7789.3
~&SPILL_STATS,56, 15, 0, 17, 34, 18, 771.882, 308.264, 21.9454, 458.075, 7789.3
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,103, 30, 0, 31, 63, 25, 3884.98, 1174.56, 43.1171, 1402.59, 5825.19
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,29, 9, 0, 14, 18, 7, 310.471, 123.937, 11.1338, 181.588, 3053.22
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,12, 0, 0, 3, 0, 0, 7.5, 0, 1.875, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,6, 5, 0, 4, 4, 2, 1272.24, 854.238, 54.2381, 838, 8127.95
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 37.7059
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,13, 14, 0, 13, 0, 1, 13, 14, 11.5, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,172, 25, 0, 49, 36, 45, 11987.4, 774.133, 943.994, 9220.42, 17476.9
~&SPILL_STATS,11, 3, 0, 5, 4, 5, 18440.4, 427.619, 694.238, 838, 16915.2
~&SPILL_STATS,7, 10, 0, 6, 0, 0, 6.94118, 9.76471, 6, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,35, 27, 0, 22, 26, 35, 5.07475, 1.99929, 1.41175, 5.04906, 5.32542
~&SPILL_STATS,472, 99, 0, 105, 28, 112, 1044.34, 424.745, 379.5, 48.6492, 97.4369
~&SPILL_STATS,350, 50, 0, 53, 19, 77, 409.097, 96.9058, 84.2793, 41.3694, 57.3393
~&SPILL_STATS,10, 4, 0, 8, 1, 26, 2.58251, 1.12211, 3.05776, 0.186469, 9.14191
~&SPILL_STATS,325, 96, 0, 71, 34, 53, 268.761, 75.8452, 29.1183, 9.45484, 23.2809
~&SPILL_STATS,11, 2, 0, 7, 2, 12, 2.49707, 0.328125, 2.10938, 0.328125, 3.53516
~&SPILL_STATS,287, 60, 0, 49, 18, 66, 30.8079, 13.7117, 12.6573, 3.04818, 3.4376
~&SPILL_STATS,12, 12, 0, 7, 6, 2, 0.416327, 3.11434, 1.2289, 0.177213, 2
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 2
~&SPILL_STATS,156, 143, 0, 70, 28, 30, 144.033, 252.126, 17.7631, 9.17251, 49.4754
~&SPILL_STATS,25, 21, 0, 13, 8, 12, 261.857, 1077.43, 134.81, 90.3333, 1456.57
~&SPILL_STATS,60, 41, 0, 23, 23, 10, 1106.69, 1423.44, 385.375, 205.375, 577.5
~&SPILL_STATS,94, 42, 0, 18, 25, 21, 19.0105, 9.45609, 6.99121, 1.91407, 34.7049
~&SPILL_STATS,17, 3, 0, 7, 12, 27, 102.283, 17.6792, 4.96226, 106.623, 41.8491
~&SPILL_STATS,14, 30, 0, 8, 4, 13, 221.048, 1859.95, 88.8571, 45.0476, 101.238
~&SPILL_STATS,59, 40, 0, 23, 19, 12, 1072.31, 1387.94, 385.375, 164.625, 613.625
~&SPILL_STATS,94, 42, 0, 18, 25, 21, 19.0105, 9.45609, 6.99121, 1.91407, 34.7049
~&SPILL_STATS,10, 7, 0, 7, 19, 9, 51.5283, 20.4528, 35.4528, 96.0755, 29.3019
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 1, 0, 1, 1, 7, 0, 0.3125, 1, 0.3125, 6.125
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,5, 1, 0, 0, 2, 19, 40.6129, 8.22581, 0, 8.22581, 170.484
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
~&SPILL_STATS,15, 11, 0, 14, 9, 6, 71.4855, 52.3246, 63.9512, 12.8418, 474.139
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,40, 7, 0, 10, 12, 7, 1467.96, 237.8, 220.48, 65.68, 361.72
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.553634
~&SPILL_STATS,72, 36, 0, 49, 32, 15, 22154.5, 9257.02, 4674.16, 4335.2, 3961.77
~&SPILL_STATS,28, 5, 0, 8, 12, 3, 62043.5, 408.588, 428.353, 1173.53, 15435.3
~&SPILL_STATS,40, 19, 0, 12, 17, 6, 6339.74, 9075.9, 164.404, 507.95, 8972.18
~&SPILL_STATS,43, 15, 0, 14, 34, 10, 772077, 15986.2, 107981, 70696.5, 224586
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.5551
~&SPILL_STATS,5, 16, 0, 8, 0, 0, 5, 16, 8, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
