"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@newmolecule,0,0,0,0,0,2,0,0,0,0,2
function@freeresidue,0,0,0,0,0,1,0,0,0,0,12.5294
function@freemolecule,0,0,0,0,0,3,0,0,0,0,524.719
function@addstrand,0,0,0,0,0,4,0,0,0,0,9.7109
function@addresidue,2,4,0,4,0,7,0.155039,2.34109,0.29845,0,4.56977
function@connectres,12,1,0,6,0,2,1.34334,0.0235828,0.384942,0,1.13139
function@mergestr,47,15,0,36,3,30,34.2685,100.13,33.5325,0.175188,182.322
function@upd_molnumbers,7,3,0,9,0,3,1513.48,4723.76,1521.05,0,8533.29
function@countmolstrands,0,0,0,0,0,0,0,0,0,0,0
function@countstrandresidues,0,0,0,0,0,1,0,0,0,0,15.75
function@countmolres,1,2,0,3,1,4,20.2857,457.095,39.2857,12.6667,863.381
function@countmolatoms,5,0,0,5,0,20,1366.24,0,858.286,0,71771.1
function@dist,0,0,0,0,0,0,0,0,0,0,0
function@distp,0,0,0,0,0,0,0,0,0,0,0
function@angle,0,1,0,1,0,0,0,0.885815,0.941177,0,0
function@anglep,0,1,0,1,0,0,0,0.888889,0.944444,0,0
function@torsion,0,0,0,0,0,0,0,0,0,0,0
function@torsionp,9,5,0,14,0,1,8.5,5,13.5,0,0.5
function@getresname,0,0,0,0,0,2,0,0,0,0,2
function@cap,57,8,0,22,1,33,58.208,65.8224,29.7009,0.236277,51.3643
function@delete_atom,32,11,0,27,0,32,495.882,174.922,261.353,0,771.392
function@copyextbonds,0,0,0,0,0,2,0,0,0,0,10.92
function@setreskind,1,1,0,1,0,3,6.25,12.5,12.5,0,220
function@setxyz_from_mol,5,1,0,6,0,5,5567.58,426.583,1175.5,0,17494
function@setxyzw_from_mol,7,1,0,7,2,3,9835.17,426.583,5442.08,1.66667,13226.4
function@setmol_from_xyz,5,1,0,6,0,5,5567.58,426.583,1175.5,0,17494
function@setmol_from_xyzw,7,1,0,7,2,3,9835.17,426.583,5442.08,1.66667,13226.4
function@NAB_ainit,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initres,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initatom,0,0,0,0,0,0,0,0,0,0,0
function@NAB_mnext,0,0,0,0,0,2,0,0,0,0,4.08075
function@NAB_rnext,0,0,0,0,0,1,0,0,0,0,6.2
function@NAB_anext,0,0,0,0,0,3,0,0,0,0,1.68
function@NAB_mri,18,9,0,27,0,13,491.178,1704.48,493.925,0,3079.8
function@NAB_rri,25,9,0,31,0,16,482.514,1704.48,439.443,0,3281.04
function@NAB_rrc,0,0,0,0,0,1,0,0,0,0,1
function@NAB_ari,38,15,0,53,0,16,506.103,1577.54,508.643,0,2850.75
function@NAB_arf,0,0,0,0,0,1,0,0,0,0,1
function@NAB_arc,14,3,0,13,0,9,190.919,667.797,172.55,0,1289.25
function@NAB_arp,0,0,0,0,0,0,0,0,0,0,0
function@newtransform,9,0,0,3,0,0,5.625,0,1.875,0,0
function@concat_mat,0,0,0,0,0,2,0,0,0,0,63.75
function@transformres,0,0,0,0,0,1,0,0,0,0,21.25
function@transformmol,4,1,0,5,0,2,1239.29,406.333,865.905,0,8533.29
function@transformpts,1,0,0,1,0,7,5,0,5,0,37.8627
function@updtransform,0,0,0,0,0,0,0,0,0,0,0
function@trans4p,0,0,0,0,0,0,0,0,0,0,0
function@NAB_matcpy,0,0,0,0,0,0,0,0,0,0,0
function@trans4,0,0,0,0,0,0,0,0,0,0,0
function@rot4p,10,2,0,11,0,2,10,2,11,0,1.25
function@rot4,0,0,0,0,0,0,0,0,0,0,0
function@set_belly_mask,96,4,0,52,14,76,19275.8,37.0743,1688.91,6.70312,18298.7
function@set_cons_mask,8,0,0,6,1,4,17848.7,0,1353.52,12.6667,16914.2
function@circle,5,8,0,10,0,1,4.88235,7.70588,10,0,1
function@rt_errormsg,0,0,0,0,0,0,0,0,0,0,0
function@regcomp,37,5,0,14,4,54,6.19329,0.198017,1.51745,0.0737934,8.01609
function@p_ere,235,25,0,56,4,192,618.685,99.2422,155.459,3.42738,292.333
function@p_bre,83,15,0,53,5,128,85.0077,20.4854,73.6222,4.49163,101.849
