"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMlogicPnew_solver,1424,1027,0,757,581,783,1.22224e+07,9.07086e+06,6.12976e+06,7.5442e+06,7.21202e+06
function@_QMlogicFnew_solverPupdate,152,96,0,84,8,133,3121.9,2908.21,1356.52,7.91035,2681.19
function@_QMlogicFnew_solverPx_wing,887,722,0,455,642,374,159353,165429,83971.3,197845,209123
function@_QMlogicFnew_solverPspecific,1053,550,0,481,255,619,2.55275e+07,2.58511e+07,3.23838e+06,2.8364e+06,1.84969e+07
function@_QMlogicFnew_solverPnaked_pairs,1034,748,0,542,521,509,1.67426e+06,1.87404e+06,1.90125e+06,1.1484e+06,1.12491e+06
function@_QMlogicFnew_solverPhidden_pairs,886,689,0,419,553,459,4.18115e+06,3.77636e+06,2.19033e+06,2.30833e+06,3.63914e+06
function@_QMlogicFnew_solverPnaked_triplets,1456,1085,0,699,740,766,2.70281e+07,3.35856e+07,3.08046e+07,2.00847e+07,2.17223e+07
function@_QMlogicFnew_solverPhidden_triplets,1899,1283,0,665,878,970,1.02191e+07,1.08539e+07,3.27519e+06,9.69794e+06,1.52489e+07
function@_QMbrute_forcePbrute,855,391,0,647,455,286,52433.2,22399.5,48376.1,17459,15333.9
function@_QMbrute_forcePrearrange,89,59,0,134,0,47,2359,53.7447,2128.87,0,2649.55
function@_QMbrute_forcePdigits_2,866,150,0,388,34,1010,4883.05,2400.35,2149.82,20.4523,20181.8
function@_QMbrute_forcePcovered,214,14,0,69,8,64,36938.8,5091.63,13402.2,4.11239,10838.4
function@_QMbrute_forcePreflected,85,68,0,71,15,73,80771,98432.8,45655.4,142.24,73981.1
function@_QQmain,212,211,0,330,7,148,3.39846e+14,8.74462e+13,2.57744e+14,1.24614e+12,2.19069e+14
function@_QFPeliminate,5,3,0,8,0,3,208.917,159.104,241.042,0,201.917
function@_QFPknt_val,3,0,0,3,1,5,95.625,0,95.625,31.875,1151.38
function@_QFPone_nine,0,0,0,0,0,0,0,0,0,0,0
function@_QFPread_raw_data,0,0,0,0,0,7,0,0,0,0,34
