"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMlogicPnew_solver,1428,978,0,690,664,871,1.10724e+07,8.48856e+06,4.46631e+06,9.05408e+06,9.08529e+06
function@_QMlogicFnew_solverPupdate,153,102,0,91,11,130,3212.33,2853.02,1341.26,20.4759,2667.61
function@_QMlogicFnew_solverPx_wing,974,653,0,406,724,402,235249,94663.1,64547.6,220472,217861
function@_QMlogicFnew_solverPspecific,1123,555,0,502,265,601,2.61497e+07,2.68717e+07,3.96574e+06,2.96189e+06,1.85663e+07
function@_QMlogicFnew_solverPnaked_pairs,1119,662,0,465,622,591,1.89804e+06,1.01619e+06,1.10948e+06,1.92885e+06,1.70774e+06
function@_QMlogicFnew_solverPhidden_pairs,970,628,0,374,617,534,4.88081e+06,2.25283e+06,1.67931e+06,2.64012e+06,4.1955e+06
function@_QMlogicFnew_solverPnaked_triplets,1594,977,0,599,872,852,3.30226e+07,1.72057e+07,2.04054e+07,3.33147e+07,2.80441e+07
function@_QMlogicFnew_solverPhidden_triplets,2047,1179,0,606,941,1091,9.97403e+06,1.00125e+07,2.1283e+06,1.06336e+07,1.54916e+07
function@_QMbrute_forcePbrute,870,297,0,600,550,230,62830.2,10726.6,38381,28392,13009.2
function@_QMbrute_forcePrearrange,85,57,0,135,0,59,2347.13,44.5745,2126.57,0,2721.89
function@_QMbrute_forcePdigits_2,867,186,0,398,39,1156,5334.99,2328.2,2026.75,28.2289,22072.3
function@_QMbrute_forcePcovered,201,13,0,68,8,59,33727.9,4086.11,13373.9,4.11239,9439.29
function@_QMbrute_forcePreflected,91,65,0,74,12,81,70326.6,98347.4,42485.8,6.19216,88483.9
function@_QQmain,259,214,0,332,7,122,4.70012e+14,8.64137e+13,2.66334e+14,8.74554e+11,1.99352e+14
function@_QFPeliminate,5,3,0,8,0,3,208.917,159.104,241.042,0,201.917
function@_QFPknt_val,3,1,0,3,0,4,95.625,31.875,95.625,0,1119.5
function@_QFPone_nine,0,0,0,0,0,0,0,0,0,0,0
function@_QFPread_raw_data,0,0,0,0,0,7,0,0,0,0,34
