"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,175,66,0,147,6,197,47060.4,22002.2,14918.1,217.042,12633.6
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,153,81,0,150,36,137,72397.8,20821.3,20276.1,24136.2,22016.1
function@_QMplane_source_modPplane_source_apply,45,23,0,25,21,31,2240.69,1243.06,533.062,1017.25,1217.25
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,18,9,0,18,3,98,19.4326,12.7002,10.0687,0.131836,40.1465
function@_QMmur_modPmur_init,112,24,0,83,11,202,144.944,91.6787,38.334,3.03125,401.222
function@_QMmur_modPmur_updatee,986,558,0,797,107,468,13287.3,8381.59,5225.52,622.966,4794.99
function@_QMmur_modPmur_storee,499,303,0,369,113,257,17413.4,6350.2,4796.43,5605.28,6577.94
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,35,70,0,84,3,64,3935.95,11793,966.35,1.6,8424.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,203,0,0,60,4,29,203,0,60,3,29
function@_QMupdate_modPupdateh..omp_par.4,203,112,0,155,92,55,125348,55594.4,20941.4,11866.2,50070.5
function@_QMupdate_modPupdateh..omp_par.3,51,35,0,71,2,22,5600.88,7769.88,1755,10.5625,3910.56
function@_QMupdate_modPupdateh..omp_par.2,31,17,0,44,1,11,3311.5,3570.31,1063.69,0.625,2580
function@_QMupdate_modPupdateh..omp_par.1,27,20,0,42,2,11,2661.06,4220.12,1052.75,1.25,1941.25
