"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,276,122,0,157,172,99,41083.2,49918.9,10300.3,1624.6,1935.03
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,286,170,0,158,150,64,154103,16556.8,11176,35035.3,12075.9
function@_QMplane_source_modPplane_source_apply,62,42,0,24,43,9,2798.88,1763.12,102.375,1212.06,940.688
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,35,29,0,23,4,92,20.8389,35.8396,12.0828,0.251312,36.1738
function@_QMmur_modPmur_init,126,98,0,82,74,173,80.5889,324.322,37.1758,80.6914,353.514
function@_QMmur_modPmur_updatee,1347,740,0,741,805,142,19169.8,7498.06,4329.03,3169.36,2483.13
function@_QMmur_modPmur_storee,747,432,0,335,448,98,22645.1,8293,3427.04,6702.61,3781.63
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,58,91,0,86,10,38,4218.7,12029,991.85,77.3,8082.9
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,257,4,0,56,87,1,257,4,56,77,1
function@_QMupdate_modPupdateh..omp_par.4,368,141,0,166,148,28,282150,35765.9,29811.4,35349.1,11970.5
function@_QMupdate_modPupdateh..omp_par.3,55,45,0,69,10,18,7199.94,9083.5,1444.06,1011.12,3551.5
function@_QMupdate_modPupdateh..omp_par.2,38,29,0,48,7,8,5880.38,4593.81,2672.38,1291.31,1300.88
function@_QMupdate_modPupdateh..omp_par.1,31,26,0,42,8,10,3950.81,4564,1062.75,981.938,1621.31
function@_QMupdate_modPupdateh..omp_par,55,44,0,71,8,14,9355.62,9769.62,2171.06,2025.19,3250.5
function@_QMupdate_modPupdatee,185,3,0,51,86,1,143,3,51,75.5,1
function@_QMupdate_modPupdatee..omp_par.7,476,142,0,217,192,22,487976,58365.9,45270.4,53756,19413
function@_QMupdate_modPupdatee..omp_par.6,167,51,0,78,36,11,6211.33,1871.48,880.46,433.368,1301.38
function@_QMupdate_modPupdatee..omp_par.5,184,53,0,82,47,14,8425.44,545.939,927.687,1580.3,943.123
function@_QMupdate_modPupdatee..omp_par,35,25,0,41,6,14,5745.56,4112.62,902.812,826,1703.56
function@_QMupdate_modPupdate_inith,177,84,0,87,99,18,1431.82,8179.47,157.588,143,3011.41
function@_QMupdate_modPupdate_inith..omp_par.11,236,67,0,88,62,16,187692,13540.9,9459.5,3691,9219.69
function@_QMupdate_modPupdate_inith..omp_par.10,19,17,0,26,4,5,2016.25,3253.19,72.8125,12.1875,1280.25
function@_QMupdate_modPupdate_inith..omp_par.9,17,22,0,16,7,5,1061.06,1672.88,56.75,37,649.688
function@_QMupdate_modPupdate_inith..omp_par.8,17,22,0,16,7,6,1061.06,1672.88,56.75,37,650.188
function@_QMupdate_modPupdate_inith..omp_par,27,15,0,30,8,5,6090.75,2093.31,2062.56,1614.44,449.688
function@_QMupdate_modPupdate_inite,255,281,0,149,226,69,2490.15,5675.4,782.629,571.316,2161.89
function@_QMupdate_modPupdate_inite..omp_par.14,191,71,0,112,64,7,134267,18474.2,17226.4,8779.06,8559.62
function@_QMupdate_modPupdate_inite..omp_par.13,31,22,0,23,16,6,892.562,793.625,510.75,228.938,501.25
function@_QMupdate_modPupdate_inite..omp_par.12,31,21,0,22,17,6,892.562,793,498.688,241.375,501.25
function@_QMupdate_modPupdate_inite..omp_par,14,8,0,14,7,7,3285.19,448.75,842.25,1602,865.125
function@_QMupml_modPupml_allocate,2,2,0,2,12,301,2,2,2,12,261.294
function@_QMupml_modPcheck_allocate,0,0,0,0,0,2,0,0,0,0,9.31323e-10
function@_QMupml_modPupml_set_eps_arrays,439,364,0,209,104,178,7451.69,29284,1471.1,535.81,24382.7
function@_QMupml_modPupml_init,3943,2233,0,1179,1757,709,7967.34,6977.07,749.853,1272.09,3695.83
function@_QMupml_modPupml_initb,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_initb..omp_par,990,157,0,522,92,24,5.36946e+06,570056,2.45194e+06,104231,88801.9
function@_QMupml_modPupml_inith,47,4,0,26,37,2,47,4,26,33,2
function@_QMupml_modPupml_inith..omp_par,1272,420,0,349,369,83,1.27032e+06,85655.6,75673.6,30388.2,61632.2
function@_QMupml_modPupml_updateh,106,3,0,56,90,1,106,3,56,79.5,1
function@_QMupml_modPupml_updateh..omp_par,6315,785,0,2846,190,88,3.64366e+07,3.44294e+06,1.44751e+07,593273,352238
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,107,1,0,56,93,1,107,1,56,82,1
function@_QMupml_modPupml_updatee_homo..omp_par,9526,1178,0,4079,318,149,3.88374e+07,2.27693e+06,1.39905e+07,415498,26160.8
function@_QMupml_modPupml_updatee_simple,107,1,0,56,93,1,107,1,56,82,1
function@_QMupml_modPupml_updatee_simple..omp_par,10669,1212,0,4516,330,118,4.39482e+07,2.41733e+06,1.59719e+07,418278,14242.7
function@_QMupml_modPupml_initd,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_initd..omp_par,1640,265,0,858,160,55,5.92044e+06,637117,2.74334e+06,114120,100005
function@_QMupml_modPupml_inite,47,4,0,26,37,2,47,4,26,33,2
function@_QMupml_modPupml_inite..omp_par,1515,588,0,424,435,149,1.37826e+06,97925.3,82264.4,35854.7,72710.5
function@_QMupml_modPupml_end,0,0,0,0,0,90,0,0,0,0,48.3333
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,1,0,0,0,0,0.619048
function@_QMreadline_modPreadline,93,90,0,66,23,37,691.169,822.891,630.174,58.2011,347.94
function@_QMreadline_modPcheckifkeyword,1,0,0,0,3,1,1,0,0,1.26923,9.80769
function@mpi_barrier_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_integers_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_reals_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_logical_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_coords_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_shift_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_ssend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bsend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_sendrecv_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_wait_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_isend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_buffer_detach_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_pack_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_gather_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_struct_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_type_commit_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_extent_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_free_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_vector_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_hvector_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_irecv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_waitall_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_sendrecv_replace_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_bsend_init_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_recv_init_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_dims_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_start_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_allreduce_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_abort_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_reduce_,0,0,0,0,0,0,0,0,0,0,0
function@_QMhuygens_modPhuygens_init,6,0,0,0,4,0,6,0,0,4,0
function@_QMhuygens_modPhuygensh,3234,811,0,1079,1019,231,134280,22785,20457.2,17585.2,11673.1
function@_QMhuygens_modPhuygense,3918,1040,0,1374,1198,255,164107,30032,27395.1,18051.2,15356.8
function@_QMhuygens_modPuin,1494,399,0,129,687,89,29345,6819.89,1662.19,11486,2610.49
function@_QMmaterial_modPmat_init,4581,1263,0,1961,956,177,1.13538e+09,7.5686e+07,3.25304e+08,3.00038e+07,1.5632e+07
function@_QMmaterial_modPmat_updatee,185,3,0,51,86,1,143,3,51,75.5,1
function@_QMmaterial_modPmat_updatee..omp_par.3,378,67,0,216,25,14,2.46319e+06,158193,837706,67264.8,16826.1
function@_QMmaterial_modPmat_updatee..omp_par.2,110,30,0,88,12,1,31078.3,3759.38,15022.3,1303.12,0.5
function@_QMmaterial_modPmat_updatee..omp_par.1,111,28,0,87,13,2,30691.4,3758.12,14223.1,1703.06,1.125
function@_QMmaterial_modPmat_updatee..omp_par,109,36,0,88,11,2,31465.2,8131.94,15421.6,1290.69,1.125
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,36,36,0,32,28,44,215.25,1485.12,126.578,62.75,1376.38
function@_QMpower_modPpower_init..omp_par,241,25,0,104,19,5,79266,7262.69,33804.1,4076.25,1600.25
function@_QMpower_modPpower_stop,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_dft,26,11,0,8,9,6,305.63,165.259,18.6667,13.2593,234.667
function@_QMpower_modPpower_dft..omp_par.1,461,28,0,185,29,10,132282,8082.5,51103.9,6521.31,3209.94
function@_QMpower_modPpower_dft..omp_par,167,8,0,63,5,0,3234.88,83.75,972,22.4375,0
function@_QMpower_modPpower_print,55,28,0,28,12,30,2877.11,3035.18,47.1426,17.3242,1552.08
function@_QMpower_modPpower_intere,27,43,0,23,17,14,19,16,17.3333,13,4.66667
function@_QMpower_modPpower_interh,64,48,0,38,18,11,29.3333,18,22.3333,10.5,5
function@_QMpower_modPread_power,9,21,0,11,7,68,61.9064,418.402,221.434,24.6703,2399.51
function@_QMpower_modPpower_updateh,116,70,0,78,89,20,5510.89,2776.84,2422.14,1457.23,560.58
function@timer_,0,0,0,0,0,5,0,0,0,0,3.85714
function@leapfrog_,68,103,0,61,51,45,3071.09,5997.52,802.875,137.078,2565.81
function@_QMpec_modPpec_read,0,1,0,0,2,21,0,0.375,0,0.738281,56.5156
function@_QMpec_modPpec_init,987,527,0,457,359,145,508255,124653,201301,98217.7,85976.1
function@_QMpec_modPpec_apply,36,30,0,39,18,18,376.875,541.312,88.6875,15,185.062
function@_QMpec_modPpec_end,0,0,0,0,0,3,0,0,0,0,1.2
function@_QQmain,22,15,0,35,28,71,13.75,9.375,21.875,17.5,50.625
