"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,0,0,0,0,0,0
function@set_data_tile_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfld_,87,48,0,41,61,60,22.0323,20.4569,24.067,27.4845,139.799
function@set_ngfldr_,0,0,0,0,0,0,0,0,0,0,0
function@close_io_,0,0,0,0,0,14,0,0,0,0,3.52679
function@_QMdiag_modPdiag,144,0,0,144,0,6,144,0,144,0,6
function@_QMdiag_modPdiag_tile,695,253,0,299,197,69,93242,38008.5,15255.5,10865.6,22075.8
function@_QMmod_mixingPallocate_mixing,219,36,0,42,53,10,219,36,38,48,10
function@_QMmod_mixingPinitialize_mixing,268,79,0,150,57,45,2.11432e+06,986384,861028,284150,282968
function@_QMset_zeta_modPset_zeta,51,0,0,35,0,3,51,0,35,0,3
function@_QMset_zeta_modPset_zeta_tile,120,37,0,63,29,15,3067,2219.49,491.912,257.853,1076.32
function@def_impulse_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMdef_var_modPdef_var,36,18,0,33,14,121,12.6241,4.34097,5.86428,1.16278,163.184
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,161,82,0,101,87,29,1.13486e+06,671357,214319,207327,486035
function@_QMnrutilParray_copy_r,15,3,0,4,3,10,160.68,26.16,2.56,13.8,78.4
function@_QMnrutilParray_copy_d,15,3,0,4,3,10,160.68,26.16,2.56,13.8,78.4
function@_QMnrutilParray_copy_i,16,3,0,5,3,10,173.44,26.16,15.32,13.8,78.4
function@_QMnrutilParth_r,26,82,0,18,55,8,335.775,3324.15,336.559,1356.18,118.196
function@_QMnrutilParth_d,43,20,0,14,34,10,1476.47,281.304,182.873,544.284,195.824
function@_QMnrutilParth_i,51,22,0,47,60,7,1708.55,333.049,1745.22,1734.45,140.951
function@_QMnrutilPnrerror,0,0,0,0,0,1,0,0,0,0,1
function@_QMnrutilPreallocate_rv,40,29,0,18,8,20,199.648,142.484,44.7891,26.4844,138.5
function@_QMnrutilPreallocate_iv,39,27,0,15,12,19,199.023,160.531,37.6016,48.457,126.312
function@_QMnrutilPreallocate_hv,356,61,0,102,37,19,1074.62,161.361,256.117,68.4823,64.1805
function@_QMnrutilPreallocate_rm,57,53,0,37,26,17,3335.94,2866.7,564.477,502.92,2045.44
function@_QMnrutilPreallocate_im,57,47,0,38,30,19,4095.94,2306.7,1574.16,1470.11,1225.44
function@_QMlmd_vmix_modPlmd_vmix,180,0,0,158,0,6,180,0,158,0,6
function@_QMlmd_vmix_modPlmd_vmix_tile,1719,428,0,831,400,59,991852,263299,164335,87497.2,69865.3
function@_QMlmd_vmix_modPlmd_finish,77,0,0,66,0,3,77,0,66,0,3
function@_QMlmd_vmix_modPlmd_finish_tile,90,44,0,71,35,25,68702.4,57753.7,1753.54,1866.4,64696.8
function@wrt_floats_,0,0,0,0,0,0,0,0,0,0,0
function@_QMnf_fwrite3d_bry_modPnf_fwrite3d_bry,267,91,0,130,115,19,765521,324687,106733,190921,213275
function@my_flush_,0,0,0,0,0,0,0,0,0,0,0
function@my_getpid_,0,0,0,0,0,0,0,0,0,0,0
function@my_numthreads_,0,0,0,0,0,0,0,0,0,0,0
function@my_threadnum_,0,0,0,0,0,0,0,0,0,0,0
function@my_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@wrt_station_,0,0,0,0,0,0,0,0,0,0,0
function@lmd_swfrac_tile_,135,33,0,58,68,13,12370.2,3162.85,1346.85,4585.95,1821.4
function@_QMstate_initialize_modPstate_initialize,157,76,0,116,60,45,291868,814578,22752,21003.2,693687
function@get_cycle_,26,16,0,10,22,16,82.8136,38.0387,17.1162,63.2712,42.9952
function@wrt_info_,713,18,0,357,8,166,2.00001,1.00001,2,1.5,3.00046
function@_QMt3dmix_modPt3dmix2,172,0,0,150,0,6,172,0,150,0,6
function@_QMt3dmix_modPt3dmix2_tile,1731,468,0,533,455,210,3.62431e+07,7.1647e+06,3.2356e+06,4.9492e+06,4.41588e+06
function@_QMini_fields_modPini_fields,253,0,0,230,0,10,253,0,230,0,10
function@_QMini_fields_modPini_fields_tile,857,272,0,369,249,78,552215,410232,34230.4,188047,93413.7
function@_QMini_fields_modPini_zeta,33,0,0,33,0,9,33,0,33,0,9
function@_QMini_fields_modPini_zeta_tile,78,38,0,62,32,22,2176.49,2633.52,260.853,754.101,1132.65
function@set_scoord_,148,45,0,29,74,56,461.941,134.988,70.4823,146.741,222.035
function@_QMset_3dfld_modPset_3dfld_tile,427,178,0,230,177,49,34723.4,21950.5,1232.06,7480.81,15954.4
function@obs_read_,0,0,0,0,0,0,0,0,0,0,0
function@wrt_error_,0,0,0,0,0,0,0,0,0,0,0
function@initial_,0,0,0,0,0,2,0,0,0,0,1.62162
function@initial_..omp_par.9,0,0,0,0,0,1,0,0,0,0,1
function@initial_..omp_par.8,8,6,0,5,2,6,140.562,423.875,23.9375,1.625,864.625
function@initial_..omp_par.7,8,7,0,5,2,6,140.562,823.812,23.9375,1.625,864.625
function@initial_..omp_par.6,8,6,0,5,2,6,140.562,423.875,23.9375,1.625,864.625
function@initial_..omp_par.5,8,6,0,5,2,6,140.562,423.875,23.9375,1.625,864.625
function@initial_..omp_par.4,8,6,0,5,2,6,140.562,423.875,23.9375,1.625,864.625
