"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@spec_srand,0,0,0,0,0,5,0,0,0,0,158.375
function@spec_init_genrand,0,0,0,0,0,5,0,0,0,0,158.375
function@spec_rand,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_int32,5,1,0,0,2,19,40.6129,8.22581,0,8.22581,170.484
function@spec_lrand48,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_by_array,0,0,0,0,0,5,0,0,0,0,158.375
function@spec_genrand_int31,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real1,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real2,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real3,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_res53,1,0,0,1,0,0,1,0,1,0,0
function@main,0,0,0,0,0,2,0,0,0,0,1
function@run_sequence,0,2,0,2,6,4,0,27.8824,1.61765,63.0882,62.2353
